时间,同比增长(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,5.30,6.00,1,2024-06-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2024-05,5.60,6.20,2,2024-05-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2024-04,6.70,6.30,3,2024-04-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2024-03,4.50,6.10,4,2024-03-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2024-02,0.00,7.00,5,2024-02-29 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-12,6.80,4.60,6,2023-12-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-11,6.60,4.30,7,2023-11-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-10,4.60,4.10,8,2023-10-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-09,4.50,4.00,9,2023-09-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-08,4.50,3.90,10,2023-08-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-07,3.70,3.80,11,2023-07-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-06,4.40,3.80,12,2023-06-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-05,3.50,3.60,13,2023-05-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-04,5.60,3.60,14,2023-04-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-03,3.90,3.00,15,2023-03-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2023-02,,2.40,16,2023-02-28 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-12,1.30,3.60,17,2022-12-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-11,2.20,3.80,18,2022-11-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-10,5.00,4.00,19,2022-10-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-09,6.30,3.90,20,2022-09-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-08,4.20,3.60,21,2022-08-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-07,3.80,3.50,22,2022-07-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-06,3.90,3.40,23,2022-06-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-05,0.70,3.30,24,2022-05-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-04,-4.00,4.00,25,2022-04-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-03,5.00,6.50,26,2022-03-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2022-02,7.50,7.50,27,2022-02-28 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2021-12,4.30,9.60,28,2021-12-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2021-11,3.80,10.10,29,2021-11-30 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2021-10,3.50,10.90,30,2021-10-31 00:00:00,1,0,2024-07-21 05:00:05,0,2024-07-21 05:00:05,,,
2021-09,3.10,11.80,31,2021-09-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-08,5.30,13.10,32,2021-08-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-07,6.40,14.40,33,2021-07-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-06,8.30,15.90,34,2021-06-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-05,8.80,17.80,35,2021-05-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-04,9.80,20.30,36,2021-04-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-03,14.10,24.50,37,2021-03-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2021-02,,35.10,38,2021-02-28 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-12,7.30,2.80,39,2020-12-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-11,7.00,2.30,40,2020-11-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-10,6.90,1.80,41,2020-10-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-09,6.90,1.20,42,2020-09-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-08,5.60,0.40,43,2020-08-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-07,4.80,-0.40,44,2020-07-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-06,4.80,-1.30,45,2020-06-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-05,4.40,-2.80,46,2020-05-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-04,3.90,-4.90,47,2020-04-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-03,-1.10,-8.40,48,2020-03-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2020-02,,-13.50,49,2020-02-29 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-12,6.90,5.70,50,2019-12-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-11,6.20,5.60,51,2019-11-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-10,4.70,5.60,52,2019-10-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-09,5.80,5.60,53,2019-09-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-08,4.40,5.60,54,2019-08-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-07,4.80,5.80,55,2019-07-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-06,6.30,6.00,56,2019-06-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-05,5.00,6.00,57,2019-05-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-04,5.40,6.20,58,2019-04-30 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-03,8.50,6.50,59,2019-03-31 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2019-02,,5.30,60,2019-02-28 00:00:00,1,0,2024-07-21 05:00:07,0,2024-07-21 05:00:07,,,
2018-12,5.70,6.20,61,2018-12-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-11,5.40,6.30,62,2018-11-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-10,5.90,6.40,63,2018-10-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-09,5.80,6.40,64,2018-09-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-08,6.10,6.50,65,2018-08-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-07,6.00,6.60,66,2018-07-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-06,6.00,6.70,67,2018-06-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-05,6.80,6.90,68,2018-05-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-04,7.00,6.90,69,2018-04-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-03,6.00,6.80,70,2018-03-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2018-02,,7.20,71,2018-02-28 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
