时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,BEA,4333.00,498295.00,115.00,1,2024-07-18 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-17,BEA,5000.00,540500.00,108.10,2,2024-07-17 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-16,BEA,585.00,58500.00,100.00,3,2024-07-16 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-15,BEA,7105.00,653660.00,92.00,4,2024-07-15 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-12,BEA,20.00,1960.00,98.00,5,2024-07-12 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-11,BEA,20.00,1700.00,85.00,6,2024-07-11 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-10,BEA,3900.00,276100.00,70.79,7,2024-07-10 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-09,BEA,13796.00,1172660.00,85.00,8,2024-07-09 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-08,BEA,100.00,10000.00,100.00,9,2024-07-08 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-05,BEA,1000.00,110000.00,110.00,10,2024-07-05 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-04,BEA,1000.00,110000.00,110.00,11,2024-07-04 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-07-03,BEA,3600.00,412100.00,114.47,12,2024-07-03 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-06-28,BEA,2850.00,313500.00,110.00,13,2024-06-28 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-06-26,BEA,2000.00,228000.00,114.00,14,2024-06-26 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-06-25,BEA,55.00,6450.00,117.27,15,2024-06-25 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
2024-06-24,BEA,2500.00,252000.00,100.80,16,2024-06-24 00:00:00,1,0,2024-07-21 05:07:45,0,2024-07-21 05:07:45,,,
