时间,煤炭产地,产品名称,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-01-06,湖南省,主焦煤,1603.00,到厂价,1,2025-01-06 00:00:00,1,0,2025-01-06 23:11:22,0,2025-01-06 23:11:22,,,
2025-01-13,湖南省,主焦煤,1603.00,到厂价,2,2025-01-13 00:00:00,1,0,2025-01-14 23:12:07,0,2025-01-14 23:12:07,,,
2025-01-20,湖南省,主焦煤,1603.00,到厂价,3,2025-01-20 00:00:00,1,0,2025-01-20 23:12:02,0,2025-01-20 23:12:02,,,
2025-01-27,湖南省,主焦煤,1573.00,到厂价,4,2025-01-27 00:00:00,1,0,2025-02-04 23:12:01,0,2025-02-04 23:12:01,,,
2025-02-10,湖南省,主焦煤,1573.00,到厂价,5,2025-02-10 00:00:00,1,0,2025-02-10 23:11:48,0,2025-02-10 23:11:48,,,
2025-02-17,湖南省,主焦煤,1543.00,到厂价,6,2025-02-17 00:00:00,1,0,2025-02-19 23:12:17,0,2025-02-19 23:12:17,,,
2025-02-24,湖南省,主焦煤,1543.00,到厂价,7,2025-02-24 00:00:00,1,0,2025-02-24 23:11:53,0,2025-02-24 23:11:53,,,
2025-03-03,湖南省,主焦煤,1493.00,到厂价,8,2025-03-03 00:00:00,1,0,2025-03-03 23:12:05,0,2025-03-03 23:12:05,,,
2025-03-10,湖南省,主焦煤,1493.00,到厂价,9,2025-03-10 00:00:00,1,0,2025-03-10 23:12:12,0,2025-03-10 23:12:12,,,
2025-03-17,湖南省,主焦煤,1493.00,到厂价,10,2025-03-17 00:00:00,1,0,2025-03-18 23:11:54,0,2025-03-18 23:11:54,,,
2025-03-24,湖南省,主焦煤,1493.00,到厂价,11,2025-03-24 00:00:00,1,0,2025-03-26 23:11:55,0,2025-03-26 23:11:55,,,
2025-04-07,湖南省,主焦煤,1493.00,到厂价,12,2025-04-07 00:00:00,1,0,2025-04-07 23:12:09,0,2025-04-07 23:12:09,,,
2025-03-31,湖南省,主焦煤,1493.00,到厂价,13,2025-03-31 00:00:00,1,0,2025-04-07 23:12:09,0,2025-04-07 23:12:09,,,
2025-04-14,湖南省,主焦煤,1493.00,到厂价,14,2025-04-14 00:00:00,1,0,2025-04-21 23:12:07,0,2025-04-21 23:12:07,,,
2025-04-21,湖南省,主焦煤,1493.00,到厂价,15,2025-04-21 00:00:00,1,0,2025-04-28 23:11:57,0,2025-04-28 23:11:57,,,
2025-04-29,湖南省,主焦煤,1493.00,到厂价,16,2025-04-29 00:00:00,1,0,2025-05-05 23:11:10,0,2025-05-05 23:11:10,,,
2025-05-12,湖南省,主焦煤,1493.00,到厂价,17,2025-05-12 00:00:00,1,0,2025-05-12 23:12:07,0,2025-05-12 23:12:07,,,
2025-05-19,湖南省,主焦煤,1453.00,到厂价,18,2025-05-19 00:00:00,1,0,2025-05-19 23:11:59,0,2025-05-19 23:11:59,,,
2025-05-26,湖南省,主焦煤,1453.00,到厂价,19,2025-05-26 00:00:00,1,0,2025-05-26 23:12:09,0,2025-05-26 23:12:09,,,
2025-06-09,湖南省,主焦煤,1363.00,到厂价,20,2025-06-09 00:00:00,1,0,2025-06-09 23:12:44,0,2025-06-09 23:12:44,,,
2025-06-16,湖南省,主焦煤,1363.00,到厂价,21,2025-06-16 00:00:00,1,0,2025-06-16 23:12:00,0,2025-06-16 23:12:00,,,
2025-06-23,湖南省,主焦煤,1293.00,到厂价,22,2025-06-23 00:00:00,1,0,2025-06-23 23:11:52,0,2025-06-23 23:11:52,,,
2025-06-30,湖南省,主焦煤,1293.00,到厂价,23,2025-06-30 00:00:00,1,0,2025-06-30 23:11:40,0,2025-06-30 23:11:40,,,
2025-07-07,湖南省,主焦煤,1293.00,到厂价,24,2025-07-07 00:00:00,1,0,2025-07-07 23:12:20,0,2025-07-07 23:12:20,,,
2025-07-21,湖南省,主焦煤,1363.00,到厂价,25,2025-07-21 00:00:00,1,0,2025-07-21 23:12:04,0,2025-07-21 23:12:04,,,
2025-07-14,湖南省,主焦煤,1293.00,到厂价,26,2025-07-14 00:00:00,1,0,2025-07-21 23:12:04,0,2025-07-21 23:12:04,,,
2025-07-28,湖南省,主焦煤,1363.00,到厂价,27,2025-07-28 00:00:00,1,0,2025-07-28 23:11:38,0,2025-07-28 23:11:38,,,
2025-08-04,湖南省,主焦煤,1603.00,到厂价,28,2025-08-04 00:00:00,1,0,2025-08-04 23:11:31,0,2025-08-04 23:11:31,,,
2025-08-11,湖南省,主焦煤,1603.00,到厂价,29,2025-08-11 00:00:00,1,0,2025-08-11 23:11:41,0,2025-08-11 23:11:41,,,
2025-08-25,湖南省,主焦煤,1603.00,到厂价,30,2025-08-25 00:00:00,1,0,2025-08-25 23:11:53,0,2025-08-25 23:11:53,,,
2025-08-18,湖南省,主焦煤,1603.00,到厂价,31,2025-08-18 00:00:00,1,0,2025-08-25 23:11:53,0,2025-08-25 23:11:53,,,
2025-09-01,湖南省,主焦煤,1603.00,到厂价,32,2025-09-01 00:00:00,1,0,2025-09-01 23:11:50,0,2025-09-01 23:11:50,,,
2025-09-08,湖南省,主焦煤,1573.00,到厂价,33,2025-09-08 00:00:00,1,0,2025-09-08 23:12:11,0,2025-09-08 23:12:11,,,
