时间,5500大卡,环比增减,5000大卡,环比增减_1,4500大卡,环比增减_2,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03-07,694.00,-19.00,602.00,-18.00,526.00,-17.00,1,2025-03-07 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-02-28,713.00,-25.00,620.00,-28.00,543.00,-24.00,2,2025-02-28 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-02-21,738.00,-17.00,648.00,-16.00,567.00,-15.00,3,2025-02-21 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-02-14,755.00,-6.00,664.00,-5.00,582.00,-2.00,4,2025-02-14 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-02-07,761.00,-2.00,669.00,-2.00,584.00,0.00,5,2025-02-07 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-01-24,763.00,-8.00,671.00,-6.00,584.00,-2.00,6,2025-01-24 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-01-17,771.00,-3.00,677.00,-2.00,586.00,2.00,7,2025-01-17 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-01-10,774.00,5.00,679.00,8.00,584.00,12.00,8,2025-01-10 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2025-01-03,769.00,2.00,671.00,4.00,572.00,7.00,9,2025-01-03 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2024-12-27,767.00,-20.00,667.00,-18.00,565.00,-22.00,10,2024-12-27 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2024-12-20,787.00,-21.00,685.00,-23.00,587.00,-27.00,11,2024-12-20 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
2024-12-13,808.00,-15.00,708.00,-13.00,614.00,-16.00,12,2024-12-13 00:00:00,1,0,2025-03-07 23:19:22,0,2025-03-07 23:19:22,,,
