时间,哈密6000K,哈密5500K,昌吉5000K,玉门5500K,玉门5000K,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03-07,380.00,286.00,145.00,460.00,365.00,1,2025-03-07 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-03-06,380.00,286.00,145.00,460.00,365.00,2,2025-03-06 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-03-05,380.00,286.00,145.00,460.00,365.00,3,2025-03-05 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-03-04,380.00,286.00,145.00,460.00,365.00,4,2025-03-04 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-03-03,380.00,286.00,145.00,460.00,365.00,5,2025-03-03 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-28,380.00,286.00,147.00,465.00,370.00,6,2025-02-28 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-27,380.00,286.00,147.00,465.00,370.00,7,2025-02-27 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-26,380.00,286.00,147.00,465.00,370.00,8,2025-02-26 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-25,380.00,286.00,147.00,465.00,370.00,9,2025-02-25 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-24,380.00,286.00,147.00,465.00,370.00,10,2025-02-24 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-21,380.00,291.00,150.00,468.00,373.00,11,2025-02-21 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-20,380.00,291.00,150.00,468.00,373.00,12,2025-02-20 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-19,380.00,291.00,150.00,468.00,373.00,13,2025-02-19 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-18,380.00,291.00,150.00,468.00,373.00,14,2025-02-18 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-17,380.00,291.00,150.00,468.00,373.00,15,2025-02-17 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-14,380.00,293.00,150.00,470.00,376.00,16,2025-02-14 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-13,380.00,296.00,152.00,474.00,379.00,17,2025-02-13 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-12,380.00,296.00,152.00,474.00,379.00,18,2025-02-12 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-11,380.00,296.00,152.00,476.00,382.00,19,2025-02-11 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-10,380.00,296.00,152.00,476.00,382.00,20,2025-02-10 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-08,380.00,296.00,155.00,478.00,385.00,21,2025-02-08 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-07,380.00,296.00,155.00,478.00,385.00,22,2025-02-07 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-06,380.00,296.00,155.00,478.00,385.00,23,2025-02-06 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-02-05,380.00,296.00,155.00,478.00,385.00,24,2025-02-05 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-27,380.00,296.00,155.00,478.00,385.00,25,2025-01-27 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-26,380.00,296.00,155.00,478.00,385.00,26,2025-01-26 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-24,380.00,296.00,155.00,478.00,385.00,27,2025-01-24 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-23,380.00,296.00,155.00,478.00,385.00,28,2025-01-23 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-22,380.00,296.00,155.00,478.00,385.00,29,2025-01-22 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-21,380.00,296.00,155.00,478.00,385.00,30,2025-01-21 00:00:00,1,0,2025-03-07 23:20:33,0,2025-03-07 23:20:33,,,
2025-01-20,380.00,296.00,155.00,478.00,385.00,31,2025-01-20 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-17,380.00,296.00,155.00,478.00,385.00,32,2025-01-17 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-16,380.00,296.00,155.00,478.00,385.00,33,2025-01-16 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-15,380.00,296.00,155.00,478.00,385.00,34,2025-01-15 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-14,380.00,296.00,155.00,478.00,385.00,35,2025-01-14 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-13,380.00,296.00,155.00,478.00,385.00,36,2025-01-13 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-10,380.00,296.00,155.00,478.00,385.00,37,2025-01-10 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-09,380.00,296.00,155.00,478.00,389.00,38,2025-01-09 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-08,380.00,296.00,155.00,478.00,389.00,39,2025-01-08 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-07,380.00,296.00,155.00,478.00,389.00,40,2025-01-07 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
2025-01-06,380.00,298.00,155.00,478.00,391.00,41,2025-01-06 00:00:00,1,0,2025-03-07 23:20:36,0,2025-03-07 23:20:36,,,
