时间,永城,长治,晋城,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03-07,1080.00,970.00,935.00,1,2025-03-07 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-02-28,1080.00,970.00,935.00,2,2025-02-28 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-02-21,1160.00,1050.00,985.00,3,2025-02-21 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-02-14,1160.00,1050.00,1000.00,4,2025-02-14 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-02-07,1160.00,1050.00,1000.00,5,2025-02-07 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-01-24,1160.00,1050.00,1000.00,6,2025-01-24 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-01-17,1160.00,1050.00,1000.00,7,2025-01-17 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-01-10,1160.00,1050.00,1000.00,8,2025-01-10 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-01-03,1160.00,1050.00,1000.00,9,2025-01-03 00:00:00,1,0,2025-03-07 23:20:46,0,2025-03-07 23:20:46,,,
2025-03-14,1080.00,970.00,920.00,10,2025-03-14 00:00:00,1,0,2025-03-14 23:05:24,0,2025-03-14 23:05:24,,,
2025-03-21,1080.00,970.00,920.00,11,2025-03-21 00:00:00,1,0,2025-03-24 23:14:31,0,2025-03-24 23:14:31,,,
2025-03-28,1080.00,970.00,920.00,12,2025-03-28 00:00:00,1,0,2025-03-28 23:14:51,0,2025-03-28 23:14:51,,,
2025-04-11,1080.00,940.00,890.00,13,2025-04-11 00:00:00,1,0,2025-04-12 23:01:53,0,2025-04-12 23:01:53,,,
2025-04-18,1050.00,940.00,890.00,14,2025-04-18 00:00:00,1,0,2025-04-18 23:15:08,0,2025-04-18 23:15:08,,,
2025-04-25,1050.00,940.00,890.00,15,2025-04-25 00:00:00,1,0,2025-04-25 23:14:50,0,2025-04-25 23:14:50,,,
2025-05-09,1050.00,940.00,890.00,16,2025-05-09 00:00:00,1,0,2025-05-09 23:14:40,0,2025-05-09 23:14:40,,,
2025-05-16,1020.00,940.00,890.00,17,2025-05-16 00:00:00,1,0,2025-05-19 23:16:35,0,2025-05-19 23:16:35,,,
2025-05-23,1020.00,920.00,890.00,18,2025-05-23 00:00:00,1,0,2025-05-23 23:14:44,0,2025-05-23 23:14:44,,,
2025-05-30,1020.00,920.00,890.00,19,2025-05-30 00:00:00,1,0,2025-05-30 23:14:47,0,2025-05-30 23:14:47,,,
2025-06-06,1020.00,920.00,890.00,20,2025-06-06 00:00:00,1,0,2025-06-07 23:01:51,0,2025-06-07 23:01:51,,,
2025-06-13,930.00,785.00,785.00,21,2025-06-13 00:00:00,1,0,2025-06-13 23:14:49,0,2025-06-13 23:14:49,,,
2025-06-20,930.00,785.00,785.00,22,2025-06-20 00:00:00,1,0,2025-06-20 23:15:00,0,2025-06-20 23:15:00,,,
2025-06-27,930.00,785.00,785.00,23,2025-06-27 00:00:00,1,0,2025-06-27 23:14:44,0,2025-06-27 23:14:44,,,
2025-07-04,930.00,785.00,785.00,24,2025-07-04 00:00:00,1,0,2025-07-04 23:14:57,0,2025-07-04 23:14:57,,,
2025-07-11,880.00,785.00,785.00,25,2025-07-11 00:00:00,1,0,2025-07-11 23:14:52,0,2025-07-11 23:14:52,,,
2025-07-18,930.00,815.00,815.00,26,2025-07-18 00:00:00,1,0,2025-07-18 23:14:45,0,2025-07-18 23:14:45,,,
2025-07-25,930.00,815.00,825.00,27,2025-07-25 00:00:00,1,0,2025-07-25 23:14:36,0,2025-07-25 23:14:36,,,
2025-08-01,1050.00,935.00,930.00,28,2025-08-01 00:00:00,1,0,2025-08-01 23:28:32,0,2025-08-01 23:28:32,,,
2025-08-08,1050.00,935.00,930.00,29,2025-08-08 00:00:00,1,0,2025-08-08 23:14:51,0,2025-08-08 23:14:51,,,
2025-08-15,1100.00,985.00,980.00,30,2025-08-15 00:00:00,1,0,2025-08-15 23:14:49,0,2025-08-15 23:14:49,,,
2025-08-22,1100.00,985.00,980.00,31,2025-08-22 00:00:00,1,0,2025-08-22 23:14:44,0,2025-08-22 23:14:44,,,
2025-08-29,1100.00,985.00,980.00,32,2025-08-29 00:00:00,1,0,2025-08-29 23:14:38,0,2025-08-29 23:14:38,,,
2025-09-05,1050.00,935.00,920.00,33,2025-09-05 00:00:00,1,0,2025-09-05 23:14:40,0,2025-09-05 23:14:40,,,
2025-09-12,1000.00,885.00,870.00,34,2025-09-12 00:00:00,1,0,2025-09-12 23:14:53,0,2025-09-12 23:14:53,,,
