时间,航线,船型(吨),当期值,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-08-27,综合指数(点),,849.24,1.07,1,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,江阴—武汉(元/吨),10000-15000,11.74,0.20,2,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,江阴—荆州(元/吨),5000-6000,22.52,0.28,3,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,江阴—九江(元/吨),10000-12000,10.71,0.01,4,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,江阴—城陵矶(元/吨),10000-15000,15.53,0.23,5,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,江阴—铜陵(元/吨),10000-15000,9.38,-0.22,6,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,南京—合肥(元/吨),单机1000-1500,27.19,0.00,7,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,镇江—蚌埠(元/吨),单机1000-2000,29.83,0.01,8,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-27,镇江—宿迁(元/吨)  ,拖队10000,13.50,0.00,9,2025-08-27 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,综合指数(点),,848.17,-16.80,10,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,江阴—武汉(元/吨),10000-15000,11.54,-0.57,11,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,江阴—荆州(元/吨),5000-6000,22.24,0.10,12,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,江阴—九江(元/吨),10000-12000,10.70,-0.13,13,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,江阴—城陵矶(元/吨),10000-15000,15.30,-0.17,14,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,江阴—铜陵(元/吨),10000-15000,9.60,-0.42,15,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,南京—合肥(元/吨),单机1000-1500,27.19,-0.01,16,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,镇江—蚌埠(元/吨),单机1000-2000,29.82,-0.01,17,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-26,镇江—宿迁(元/吨)  ,拖队10000,13.50,-0.03,18,2025-08-26 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,综合指数(点),,864.97,15.27,19,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,江阴—武汉(元/吨),10000-15000,12.11,0.16,20,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,江阴—荆州(元/吨),5000-6000,22.14,0.15,21,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,江阴—九江(元/吨),10000-12000,10.83,0.81,22,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,江阴—城陵矶(元/吨),10000-15000,15.47,0.26,23,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,江阴—铜陵(元/吨),10000-15000,10.02,0.09,24,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,南京—合肥(元/吨),单机1000-1500,27.20,-0.04,25,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,镇江—蚌埠(元/吨),单机1000-2000,29.83,0.05,26,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-25,镇江—宿迁(元/吨)  ,拖队10000,13.53,0.06,27,2025-08-25 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-22,综合指数(点),,849.70,11.37,28,2025-08-22 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-22,江阴—武汉(元/吨),10000-15000,11.95,0.15,29,2025-08-22 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-22,江阴—荆州(元/吨),5000-6000,21.99,0.62,30,2025-08-22 00:00:00,1,0,2025-08-27 23:14:57,0,2025-08-27 23:14:57,,,
2025-08-22,江阴—九江(元/吨),10000-12000,10.02,0.05,31,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,江阴—城陵矶(元/吨),10000-15000,15.21,0.15,32,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,江阴—铜陵(元/吨),10000-15000,9.93,0.17,33,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,南京—合肥(元/吨),单机1000-1500,27.24,0.03,34,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,镇江—蚌埠(元/吨),单机1000-2000,29.78,0.20,35,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,镇江—宿迁(元/吨)  ,拖队10000,13.47,0.00,36,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,综合指数(点),,838.33,2.85,37,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—武汉(元/吨),10000-15000,11.80,0.31,38,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—荆州(元/吨),5000-6000,21.37,0.06,39,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—九江(元/吨),10000-12000,9.97,-0.12,40,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—城陵矶(元/吨),10000-15000,15.06,0.28,41,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—铜陵(元/吨),10000-15000,9.76,-0.06,42,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,南京—合肥(元/吨),单机1000-1500,27.21,-0.04,43,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,镇江—蚌埠(元/吨),单机1000-2000,29.58,0.03,44,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
