时间,当月值(车),同期值(车),同比变化(车),同比增长(%),累计值(车),同期累计(车),累计变化(车),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07,54975.00,55446.00,-471.00,-0.80,54333.00,57843.00,-3510.00,-6.07,1,2025-07-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-06,53901.00,59094.00,-5193.00,-8.80,54223.00,58251.00,-4028.00,-6.91,2,2025-06-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-05,52620.00,56410.00,-3790.00,-6.70,54287.00,58085.00,-3798.00,-6.54,3,2025-05-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-04,51545.00,54433.00,-2888.00,-5.30,54718.00,58514.00,-3796.00,-6.49,4,2025-04-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-03,55903.00,59884.00,-3981.00,-6.60,55775.00,59859.00,-4084.00,-6.82,5,2025-03-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-02,54899.00,55245.00,-346.00,-0.60,55708.00,59846.00,-4138.00,-6.91,6,2025-02-28 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2025-01,56439.00,64151.00,-7712.00,-12.02,56439.00,64151.00,-7712.00,-12.02,7,2025-01-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-12,62178.00,63848.00,-1670.00,-2.62,58870.00,60371.00,-1501.00,-2.49,8,2024-12-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-11,62471.00,61469.00,1002.00,1.63,58564.00,59055.00,-491.00,-0.83,9,2024-11-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-10,60165.00,57370.00,2795.00,4.87,58180.00,58816.00,-636.00,-1.08,10,2024-10-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-09,59449.00,54172.00,5277.00,9.74,57955.00,58981.00,-1026.00,-1.74,11,2024-09-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-08,57281.00,54127.00,3154.00,5.83,57772.00,59574.00,-1802.00,-3.02,12,2024-08-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-07,55446.00,57098.00,-1652.00,-2.89,57843.00,60371.00,-2528.00,-4.19,13,2024-07-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-06,59094.00,57425.00,1669.00,2.91,58251.00,60930.00,-2679.00,-4.40,14,2024-06-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-05,56410.00,60498.00,-4088.00,-6.76,58085.00,61630.00,-3545.00,-5.75,15,2024-05-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-04,54433.00,59354.00,-4921.00,-8.10,58514.00,61912.00,-3398.00,-5.49,16,2024-04-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-03,59884.00,63255.00,-3371.00,-5.30,59859.00,62764.00,-2905.00,-4.63,17,2024-03-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-02,55245.00,62402.00,-7157.00,-11.50,59846.00,62518.00,-2672.00,-4.27,18,2024-02-29 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2024-01,64151.00,62633.00,1518.00,2.40,64151.00,62633.00,1518.00,2.40,19,2024-01-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-12,63848.00,64307.00,-459.00,-0.70,60371.00,57952.00,2419.00,4.17,20,2023-12-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-11,61469.00,61659.00,-190.00,-0.30,59055.00,57374.00,1681.00,2.93,21,2023-11-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-10,57370.00,57625.00,-255.00,-0.40,58816.00,57013.00,1803.00,3.16,22,2023-10-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-09,54172.00,63318.00,-9146.00,-14.40,58981.00,56945.00,2036.00,3.58,23,2023-09-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-08,54127.00,62311.00,-8184.00,-9.70,59574.00,56148.00,3426.00,6.10,24,2023-08-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-07,57098.00,63205.00,-6107.00,-9.70,60371.00,55267.00,5104.00,9.24,25,2023-07-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-06,57425.00,54078.00,3347.00,6.20,60930.00,53944.00,6986.00,12.95,26,2023-06-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-05,60498.00,50149.00,10349.00,20.60,61630.00,53917.00,7713.00,14.31,27,2023-05-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-04,59354.00,52003.00,7351.00,14.10,61912.00,54858.00,7054.00,12.86,28,2023-04-30 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-03,63255.00,54425.00,8830.00,16.20,62764.00,55744.00,7020.00,12.59,29,2023-03-31 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-02,62402.00,57757.00,4645.00,8.00,62518.00,57757.00,4761.00,8.24,30,2023-02-28 00:00:00,1,0,2025-09-15 23:17:12,0,2025-09-15 23:17:12,,,
2023-01,62633.00,55048.00,7585.00,13.78,62633.00,55048.00,7585.00,13.78,31,2023-01-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-12,64307.00,60267.00,4040.00,6.70,57952.00,51461.00,6491.00,12.61,32,2022-12-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-11,61659.00,64420.00,-2761.00,-4.30,57374.00,50660.00,6714.00,13.25,33,2022-11-30 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-10,57625.00,55453.00,2172.00,3.90,57013.00,49283.00,7730.00,15.68,34,2022-10-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-09,63318.00,45995.00,17323.00,37.70,56945.00,48921.00,8024.00,16.40,35,2022-09-30 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-08,62311.00,50641.00,11670.00,23.00,56148.00,48921.00,7227.00,14.77,36,2022-08-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-07,63205.00,45227.00,17978.00,39.80,55267.00,48675.00,6592.00,13.54,37,2022-07-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-06,54078.00,46431.00,7647.00,16.50,53944.00,49249.00,4695.00,9.53,38,2022-06-30 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-05,50149.00,47190.00,2959.00,6.30,53917.00,49812.00,4105.00,8.24,39,2022-05-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-04,52201.00,46400.00,5801.00,12.50,54858.00,50467.00,4391.00,8.70,40,2022-04-30 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-03,54425.00,46400.00,8025.00,17.30,55744.00,51822.00,3922.00,7.57,41,2022-03-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-02,57757.00,54015.00,3742.00,6.90,56403.00,54015.00,2388.00,4.42,42,2022-02-28 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2022-01,55048.00,54015.00,1033.00,1.91,55048.00,54015.00,1033.00,1.91,43,2022-01-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
2021-12,60267.00,51151.00,9116.00,17.80,51461.00,43688.00,7773.00,17.79,44,2021-12-31 00:00:00,1,0,2025-09-15 23:17:14,0,2025-09-15 23:17:14,,,
