时间,月末库存(万吨),同比变化(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-08,9200.00,2400.00,1,2025-08-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-07,9800.00,3100.00,2,2025-07-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-06,10200.00,3500.00,3,2025-06-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-05,9200.00,3100.00,4,2025-05-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-04,8900.00,2600.00,5,2025-04-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-03,8400.00,2100.00,6,2025-03-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-02,8100.00,2300.00,7,2025-02-28 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2025-01,7400.00,500.00,8,2025-01-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-12,6800.00,840.00,9,2024-12-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-11,7300.00,480.00,10,2024-11-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-10,6900.00,240.00,11,2024-10-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-09,6700.00,-70.00,12,2024-09-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-08,6800.00,0.00,13,2024-08-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-07,6600.00,-440.00,14,2024-07-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-06,6300.00,-850.00,15,2024-06-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-05,6000.00,-1650.00,16,2024-05-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-04,6100.00,-750.00,17,2024-04-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-03,6600.00,200.00,18,2024-03-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-02,6500.00,-250.00,19,2024-02-29 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2024-01,6900.00,320.00,20,2024-01-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-12,6600.00,-110.00,21,2023-12-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-11,6700.00,-250.00,22,2023-11-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-10,6900.00,350.00,23,2023-10-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-09,6600.00,730.00,24,2023-09-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-08,6800.00,820.00,25,2023-08-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-07,6700.00,570.00,26,2023-07-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-06,6900.00,705.00,27,2023-06-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-05,7000.00,1350.00,28,2023-05-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-04,6800.00,1168.00,29,2023-04-30 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-03,6400.00,1250.00,30,2023-03-31 00:00:00,1,0,2025-09-15 23:17:28,0,2025-09-15 23:17:28,,,
2023-02,6300.00,1800.00,31,2023-02-28 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2023-01,6100.00,1600.00,32,2023-01-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-12,6600.00,1386.00,33,2022-12-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-11,6800.00,697.00,34,2022-11-30 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-10,6100.00,230.00,35,2022-10-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-09,5800.00,223.00,36,2022-09-30 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-08,5700.00,794.00,37,2022-08-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-07,6300.00,1452.00,38,2022-07-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-06,5750.00,837.00,39,2022-06-30 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-05,5500.00,418.00,40,2022-05-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-04,5300.00,199.00,41,2022-04-30 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2022-03,4700.00,-299.00,42,2022-03-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2021-12,5800.00,329.00,43,2021-12-31 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
2021-11,6000.00,-656.00,44,2021-11-30 00:00:00,1,0,2025-09-15 23:17:31,0,2025-09-15 23:17:31,,,
