时间,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07,4.50,1.90,29.20,0.70,1,2025-07-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-06,4.00,0.40,23.90,0.40,2,2025-06-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-05,3.90,1.30,20.50,0.50,3,2025-05-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-04,3.90,0.70,16.60,0.30,4,2025-04-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-03,4.20,1.80,12.70,0.20,5,2025-03-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-02,3.90,3.30,8.50,-0.50,6,2025-02-28 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2025-01,4.60,-3.50,4.60,-3.50,7,2025-01-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-12,4.90,6.40,48.90,1.90,8,2024-12-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-11,4.30,6.00,44.10,1.50,9,2024-11-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-10,4.10,7.80,39.80,1.00,10,2024-10-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-09,4.30,10.80,35.70,0.30,11,2024-09-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-08,4.40,3.10,31.40,-1.00,12,2024-08-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-07,4.20,-3.10,27.10,-1.70,13,2024-07-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-06,3.90,-2.30,22.90,-1.40,14,2024-06-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-05,3.70,-3.60,19.00,-1.20,15,2024-05-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-04,3.60,-2.30,15.40,-0.70,16,2024-04-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-03,4.00,-3.80,11.70,-0.10,17,2024-03-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-02,3.50,-6.60,7.80,5.30,18,2024-02-29 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2024-01,4.30,17.30,4.30,17.30,19,2024-01-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-12,4.40,12.70,46.50,7.50,20,2023-12-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-11,4.00,11.20,42.00,7.00,21,2023-11-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-10,3.70,5.80,38.10,6.60,22,2023-10-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-09,3.70,2.70,34.40,6.70,23,2023-09-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-08,4.10,6.10,30.70,7.20,24,2023-08-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-07,4.10,8.40,26.60,7.40,25,2023-07-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-06,3.80,12.90,22.50,7.20,26,2023-06-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-05,3.70,11.30,18.70,6.10,27,2023-05-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-04,3.60,8.10,15.00,4.90,28,2023-04-30 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-03,4.00,8.90,11.40,3.90,29,2023-03-31 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-02,3.70,8.70,7.40,1.30,30,2023-02-28 00:00:00,1,0,2025-09-15 23:19:53,0,2025-09-15 23:19:53,,,
2023-01,3.70,-5.10,3.70,-5.10,31,2023-01-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-12,3.90,3.30,43.20,1.00,32,2022-12-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-11,3.60,2.00,39.30,0.80,33,2022-11-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-10,3.40,4.00,35.70,0.60,34,2022-10-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-09,3.60,5.70,32.30,0.30,35,2022-09-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-08,3.80,6.60,28.60,-0.30,36,2022-08-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-07,3.80,2.40,24.80,-1.40,37,2022-07-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-06,3.40,-3.60,21.00,-2.00,38,2022-06-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-05,3.30,-5.70,17.60,-1.70,39,2022-05-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-04,3.30,-5.80,14.30,-0.70,40,2022-04-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-03,3.70,-2.90,10.90,1.00,41,2022-03-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-02,3.40,9.70,7.30,3.00,42,2022-02-28 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2022-01,3.90,2.30,3.90,2.30,43,2022-01-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-12,3.80,-4.50,42.70,5.00,44,2021-12-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-11,3.50,-2.70,38.90,6.00,45,2021-11-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-10,3.30,0.60,35.40,6.90,46,2021-10-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-09,3.40,5.90,32.10,7.90,47,2021-09-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-08,3.60,-1.60,28.60,8.20,48,2021-08-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-07,3.80,6.60,25.40,9.70,49,2021-07-31 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
2021-06,3.40,4.80,21.10,10.70,50,2021-06-30 00:00:00,1,0,2025-09-15 23:19:55,0,2025-09-15 23:19:55,,,
