时间,项目名称,累计值(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07,全国线路损失率,1.40,-3.70,1,2025-07-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2025-06,全国线路损失率,4.13,-0.22,2,2025-06-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2025-05,全国线路损失率,-2.20,-6.50,3,2025-05-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2025-04,全国线路损失率,-2.80,-7.20,4,2025-04-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2025-03,全国线路损失率,-2.50,-6.90,5,2025-03-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2025-02,全国线路损失率,-5.30,-9.90,6,2025-02-28 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-12,全国线路损失率,4.37,-0.17,7,2024-12-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-11,全国线路损失率,4.00,-0.50,8,2024-11-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-10,全国线路损失率,4.60,0.10,9,2024-10-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-09,全国线路损失率,5.70,1.20,10,2024-09-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-08,全国线路损失率,5.80,1.30,11,2024-08-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-07,全国线路损失率,5.10,0.60,12,2024-07-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-06,全国线路损失率,4.40,0.00,13,2024-06-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-05,全国线路损失率,4.30,-0.07,14,2024-05-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-04,全国线路损失率,4.40,-0.01,15,2024-04-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-03,全国线路损失率,4.40,-0.05,16,2024-03-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2024-02,全国线路损失率,4.60,0.07,17,2024-02-29 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-12,全国线路损失率,4.54,-0.28,18,2023-12-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-11,全国线路损失率,4.50,-0.27,19,2023-11-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-10,全国线路损失率,4.50,-0.24,20,2023-10-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-09,全国线路损失率,4.50,-0.23,21,2023-09-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-08,全国线路损失率,4.50,-0.28,22,2023-08-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-07,全国线路损失率,4.50,-0.13,23,2023-07-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-06,全国线路损失率,4.40,0.01,24,2023-06-30 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
2023-05,全国线路损失率,4.37,0.28,25,2023-05-31 00:00:00,1,0,2025-09-15 23:23:38,0,2025-09-15 23:23:38,,,
