时间,项目名称,累计值(万百万千焦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07,供热量,364016.00,-0.30,1,2025-07-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2025-06,供热量,335764.00,0.20,2,2025-06-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2025-05,供热量,306514.00,-0.10,3,2025-05-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2025-04,供热量,277584.00,0.20,4,2025-04-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2025-03,供热量,242847.00,-0.30,5,2025-03-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2025-02,供热量,176553.00,-1.00,6,2025-02-28 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-11,供热量,521663.00,5.50,7,2024-11-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-10,供热量,458258.00,7.90,8,2024-10-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-09,供热量,417147.00,7.10,9,2024-09-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-08,供热量,392300.00,8.40,10,2024-08-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-07,供热量,364785.00,9.60,11,2024-07-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-06,供热量,334927.00,9.50,12,2024-06-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-05,供热量,306900.00,10.10,13,2024-05-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-04,供热量,276905.00,10.30,14,2024-04-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-03,供热量,242132.00,10.90,15,2024-03-31 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2024-02,供热量,178401.00,11.10,16,2024-02-29 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
2023-11,供热量,494676.00,4.00,17,2023-11-30 00:00:00,1,0,2025-09-15 23:24:53,0,2025-09-15 23:24:53,,,
