统计日期,山西省,内蒙古自治区,陕西省,总计
2020-01-05,879.19,1219.74,698.44,2797.37
2020-01-12,812.81,1214.72,685.49,2713.02
2020-01-19,789.55,1205.78,595.76,2591.09
2020-01-26,515.90,880.82,321.81,1718.53
2020-02-02,463.35,878.23,334.98,1676.56
2020-02-09,543.60,955.87,460.71,1960.18
2020-02-16,593.83,1047.68,539.92,2181.43
2020-02-23,676.45,1155.51,573.25,2405.21
2020-03-01,753.38,1236.30,594.70,2584.38
2020-03-08,894.59,1214.08,613.50,2722.17
2020-03-15,876.39,1246.30,617.53,2740.22
2020-03-22,877.01,1238.37,620.61,2735.99
2020-03-29,873.91,1153.03,614.31,2641.25
2020-04-05,877.61,1167.68,615.10,2660.39
2020-04-12,881.73,1087.05,611.55,2580.33
2020-04-19,863.36,1070.87,623.39,2557.62
2020-04-26,851.47,1117.50,637.56,2606.53
2020-05-03,836.95,1118.23,621.28,2576.46
2020-05-10,859.81,994.48,602.80,2457.09
2020-05-17,888.18,1023.00,585.06,2496.24
2020-05-24,885.98,1015.70,574.07,2475.75
2020-05-31,751.54,1042.54,629.36,2423.44
2020-06-07,848.86,1057.55,606.26,2512.67
2020-06-14,849.97,1070.73,607.98,2528.68
2020-06-21,854.06,1087.79,590.27,2532.12
2020-06-28,862.32,1085.30,620.27,2567.89
2020-07-05,900.86,1115.27,623.69,2639.82
2020-07-12,897.61,1083.10,628.14,2608.85
2020-07-19,903.81,1054.86,621.78,2580.45
2020-07-26,900.32,1032.97,626.17,2559.46
2020-08-02,895.41,1044.40,639.59,2579.40
2020-08-09,891.50,1029.74,637.13,2558.37
2020-08-16,888.21,1059.20,635.46,2582.87
2020-08-23,896.28,1038.73,644.06,2579.07
2020-08-30,898.03,1035.42,652.22,2585.67
2020-09-06,889.54,1058.37,660.92,2608.83
2020-09-13,899.59,1065.67,659.55,2624.81
2020-09-20,907.53,1049.89,657.86,2615.28
2020-09-27,899.56,1039.83,668.58,2607.97
2020-10-04,892.00,1070.83,666.44,2629.27
2020-10-11,890.03,1165.20,666.74,2721.97
2020-10-18,898.56,1180.38,667.24,2746.18
2020-10-25,897.64,1188.63,671.99,2758.26
2020-11-01,903.71,1199.33,675.10,2778.14
2020-11-08,907.56,1200.85,671.52,2779.93
2020-11-15,894.74,1195.13,675.04,2764.91
2020-11-22,903.75,1159.70,667.96,2731.41
2020-11-29,908.76,1180.95,674.12,2763.83
2020-12-06,908.45,1188.44,671.16,2768.05
2020-12-13,917.25,1194.46,658.60,2770.31
2020-12-20,913.20,1197.80,654.98,2765.98
2020-12-27,899.26,1165.42,646.37,2711.05
2021-01-03,891.76,1147.57,643.54,2682.87
2021-01-10,907.85,1187.11,647.40,2742.36
2021-01-17,908.02,1193.09,665.20,2766.31
2021-01-24,909.07,1170.66,665.85,2745.58
2021-01-31,908.74,1145.88,670.52,2725.14
2021-02-07,905.06,1150.79,660.56,2716.41
2021-02-14,852.88,1010.33,611.99,2475.20
2021-02-21,888.93,1094.66,647.12,2630.71
