_ID,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE,年份,检修类型,开始时间,结束时间,持续天数,每日天窗
1,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2011,春检,2011-04-01,2011-04-30,30,4.0
2,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2011,秋检,2011-09-21,2011-10-02,12,3.0
3,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2012,春检,2012-04-03,2012-04-27,25,3.0
4,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2012,秋检,2012-10-08,2012-10-23,16,3.0
5,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2013,春检,2013-04-13,2013-05-07,25,3.0
6,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2013,秋检,2013-10-09,2013-10-29,21,4.0
7,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2014,春检,2014-04-06,2014-04-30,25,3.0
8,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2014,秋检,2014-10-09,2014-10-23,15,3.0
9,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2015,春检,2015-04-06,2015-04-28,23,4.0
10,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2015,秋检,2015-10-08,2015-10-27,20,3.0
11,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2016,春检,2016-04-06,2016-04-30,25,4.0
12,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2016,秋检,2016-10-09,2016-10-28,20,3.0
13,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2017,春检,2017-04-06,2017-04-30,25,3.0
14,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2017,秋检,2017-10-25,2017-11-16,23,3.0
15,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2018,春检,2018-04-07,2018-05-01,25,3.0
16,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2018,秋检,2018-09-29,2018-10-25,25,3.0
17,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2019,春检,2019-04-07,2019-04-30,25,3.0
18,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2019,秋检,2019-09-15,2019-10-07,25,2.5
19,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2020,春检,2020-05-01,2020-05-28,30,3.0
20,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2020,秋检,2020-10-07,2020-10-30,25,3.0
21,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2021,春检,2021-04-06,2021-05-01,26,3.0
22,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2021,秋检,2021-10-04,2021-10-28,25,3.0
23,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:20:51.389000,,,,2022,秋检,2022-10-09,2022-11-02,23,3.0
24,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2022,春检,2022-04-18,2022-05-18,30,3.0
25,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2023,春检,2023-04-06,2023-05-05,30,3.0
26,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2023,秋检,2023-10-04,2023-10-23,20,3.0
27,1,0,2024-07-02 13:18:05.065000,0,2024-07-02 13:18:05.065000,,,,2024,春检,2024-04-01,2024-04-30,30,4.0
28,1,0,2024-10-09 17:41:06.934000,0,2024-10-29 17:18:53.161000,比原计划提前两天结束,,,2024,秋检,2024-10-07,2024-10-24,20,3.0
29,1,0,2025-04-22 16:00:35.638000,0,2025-04-22 16:01:11.038000,"【大秦线检修启动】新华社新媒体报道，新华社太原4月1日电“中国重载第一路”大秦铁路4月1日开始为期30天的春季集中修施工，确保冬季电煤保供以来高负荷运转的线路设施设备迅速恢复性能状态，为迎峰度夏能源运输夯实基础。这次大秦铁路集中维修养护从4月1日开始，至4月30日结束，每天9时至12时全线列车停止运行，对线路钢轨、轨枕、道岔、道砟及供电接触网、信号设备、通信光缆等进行立体式检修和更新升级。
大秦线检修将于4月25日结束，提前5天恢复运输",,,2025,春检,2025-04-01,2025-04-25,25,3.0
