发布日期,Q5000S0.8,Q5500S0.8
2017-01-03,548.00,615.00
2017-01-04,543.00,611.00
2017-01-05,542.00,609.00
2017-01-06,541.00,608.00
2017-01-09,541.00,608.00
2017-01-10,541.00,608.00
2017-01-11,541.00,606.00
2017-01-12,541.00,604.00
2017-01-13,541.00,604.00
2017-01-16,541.00,601.00
2017-01-17,540.00,600.00
2017-01-18,540.00,599.00
2017-01-19,539.00,599.00
2017-01-20,538.00,599.00
2017-02-06,531.00,589.00
2017-02-07,531.00,589.00
2017-02-08,531.00,589.00
2017-02-09,531.00,589.00
2017-02-10,531.00,589.00
2017-02-13,532.00,589.00
2017-02-14,532.00,590.00
2017-02-15,533.00,590.00
2017-02-16,533.00,590.00
2017-02-17,535.00,592.00
2017-02-20,537.00,595.00
2017-02-21,542.00,601.00
2017-02-22,545.00,606.00
2017-02-23,547.00,608.00
2017-02-24,548.00,609.00
2017-02-27,550.00,611.00
2017-02-28,557.00,616.00
2017-03-01,559.00,621.00
2017-03-02,559.00,621.00
2017-03-03,567.00,631.00
2017-03-06,572.00,635.00
2017-03-07,573.00,639.00
2017-03-08,581.00,653.00
2017-03-09,587.00,660.00
2017-03-10,596.00,680.00
2017-03-13,605.00,685.00
2017-03-14,609.00,688.00
2017-03-15,610.00,688.00
2017-03-16,610.00,689.00
2017-03-17,607.00,690.00
2017-03-20,604.00,689.00
2017-03-21,605.00,689.00
2017-03-22,603.00,689.00
2017-03-23,602.00,685.00
2017-03-24,601.00,685.00
2017-03-27,601.00,685.00
2017-03-28,599.00,685.00
2017-03-29,598.00,685.00
2017-03-30,600.00,687.00
2017-03-31,600.00,688.00
2017-04-01,600.00,685.00
2017-04-05,599.00,686.00
2017-04-06,599.00,684.00
2017-04-07,596.00,682.00
2017-04-10,595.00,680.00
2017-04-11,592.00,679.00
2017-04-12,586.00,675.00
2017-04-13,585.00,675.00
2017-04-14,580.00,674.00
2017-04-17,579.00,673.00
2017-04-18,575.00,669.00
2017-04-19,574.00,670.00
2017-04-20,570.00,665.00
2017-04-21,560.00,660.00
2017-04-24,557.00,655.00
2017-04-25,554.00,652.00
2017-04-26,551.00,648.00
2017-04-27,549.00,646.00
2017-04-28,544.00,636.00
2017-05-02,530.00,626.00
2017-05-03,529.00,619.00
2017-05-04,528.00,617.00
2017-05-05,524.00,614.00
2017-05-08,517.00,609.00
2017-05-09,515.00,603.00
2017-05-10,512.00,594.00
2017-05-11,512.00,592.00
2017-05-12,506.00,587.00
2017-05-15,504.00,584.00
2017-05-16,501.00,579.00
2017-05-17,501.00,579.00
2017-05-18,501.00,579.00
2017-05-19,501.00,574.00
2017-05-22,501.00,572.00
2017-05-23,501.00,572.00
2017-05-24,501.00,569.00
2017-05-25,501.00,568.00
2017-05-26,500.00,568.00
2017-05-27,500.00,565.00
2017-05-31,500.00,566.00
2017-06-01,500.00,565.00
2017-06-02,501.00,562.00
2017-06-05,501.00,564.00
2017-06-06,501.00,566.00
2017-06-07,502.00,570.00
2017-06-08,505.00,570.00
2017-06-09,509.00,571.00
2017-06-12,514.00,575.00
2017-06-13,516.00,579.00
2017-06-14,520.00,582.00
2017-06-15,520.00,589.00
2017-06-16,532.00,599.00
2017-06-19,541.00,606.00
2017-06-20,544.00,612.00
2017-06-21,549.00,615.00
2017-06-22,550.00,620.00
2017-06-23,550.00,619.00
2017-06-26,550.00,619.00
2017-06-27,550.00,619.00
2017-06-28,547.00,614.00
2017-06-29,545.00,614.00
2017-06-30,545.00,615.00
2017-07-03,547.00,616.00
2017-07-04,549.00,619.00
2017-07-05,550.00,620.00
2017-07-06,554.00,620.00
2017-07-07,555.00,622.00
2017-07-10,555.00,628.00
2017-07-11,557.00,629.00
2017-07-12,560.00,630.00
2017-07-13,563.00,630.00
2017-07-14,565.00,634.00
2017-07-17,565.00,634.00
2017-07-18,567.00,635.00
2017-07-19,567.00,639.00
2017-07-20,570.00,640.00
2017-07-21,570.00,642.00
2017-07-24,570.00,644.00
2017-07-25,570.00,645.00
2017-07-26,571.00,645.00
2017-07-27,572.00,645.00
2017-07-28,570.00,644.00
2017-07-31,570.00,645.00
2017-08-01,570.00,642.00
2017-08-02,570.00,640.00
2017-08-03,570.00,640.00
2017-08-04,568.00,638.00
2017-08-07,568.00,638.00
2017-08-08,568.00,638.00
2017-08-09,567.00,637.00
2017-08-10,567.00,636.00
2017-08-11,564.00,635.00
2017-08-14,561.00,631.00
2017-08-15,559.00,629.00
2017-08-16,559.00,629.00
2017-08-17,558.00,629.00
2017-08-18,558.00,629.00
2017-08-21,557.00,628.00
2017-08-22,557.00,627.00
2017-08-23,557.00,626.00
2017-08-24,557.00,626.00
2017-08-25,557.00,626.00
2017-08-28,558.00,627.00
2017-08-29,558.00,628.00
2017-08-30,558.00,629.00
2017-08-31,561.00,630.00
2017-09-01,561.00,631.00
2017-09-04,565.00,633.00
2017-09-05,565.00,637.00
2017-09-06,570.00,641.00
2017-09-07,573.00,641.00
2017-09-08,573.00,641.00
2017-09-11,578.00,648.00
2017-09-12,583.00,655.00
2017-09-13,590.00,675.00
2017-09-14,590.00,680.00
2017-09-15,590.00,685.00
2017-09-18,600.00,695.00
2017-09-19,611.00,710.00
2017-09-20,620.00,720.00
2017-09-21,620.00,720.00
2017-09-22,624.00,724.00
2017-09-25,625.00,725.00
2017-09-26,625.00,725.00
2017-09-27,625.00,725.00
2017-09-28,630.00,730.00
2017-09-29,630.00,730.00
2017-10-09,637.00,737.00
2017-10-10,643.00,740.00
2017-10-11,641.00,740.00
2017-10-12,641.00,740.00
2017-10-13,640.00,740.00
2017-10-16,640.00,739.00
2017-10-17,638.00,738.00
2017-10-18,638.00,738.00
2017-10-19,638.00,738.00
2017-10-20,637.00,736.00
2017-10-23,633.00,727.00
2017-10-24,633.00,724.00
2017-10-25,633.00,724.00
2017-10-26,630.00,721.00
2017-10-27,629.00,721.00
2017-10-30,624.00,715.00
2017-10-31,620.00,714.00
2017-11-01,612.00,709.00
2017-11-02,605.00,705.00
2017-11-03,604.00,703.00
2017-11-06,596.00,700.00
2017-11-07,595.00,695.00
2017-11-08,592.00,689.00
2017-11-09,588.00,687.00
2017-11-10,588.00,685.00
2017-11-13,586.00,682.00
2017-11-14,585.00,680.00
2017-11-15,584.00,680.00
2017-11-16,582.00,677.00
2017-11-17,582.00,675.00
2017-11-20,583.00,673.00
2017-11-21,583.00,675.00
2017-11-22,583.00,675.00
2017-11-23,585.00,675.00
2017-11-24,590.00,677.00
2017-11-27,592.00,682.00
2017-11-28,595.00,685.00
2017-11-29,596.00,685.00
2017-11-30,599.00,685.00
2017-12-01,604.00,686.00
2017-12-04,611.00,690.00
2017-12-05,616.00,692.00
2017-12-06,618.00,692.00
2017-12-07,618.00,692.00
2017-12-08,618.00,692.00
2017-12-11,618.00,692.00
2017-12-12,622.00,692.00
2017-12-13,622.00,692.00
2017-12-14,622.00,692.00
2017-12-15,625.00,692.00
2017-12-18,625.00,695.00
2017-12-19,625.00,698.00
2017-12-20,626.00,700.00
2017-12-21,627.00,701.00
2017-12-22,627.00,702.00
2017-12-25,628.00,705.00
2017-12-26,630.00,705.00
2017-12-27,630.00,705.00
2017-12-28,632.00,708.00
2017-12-29,633.00,709.00
2018-01-02,634.00,709.00
2018-01-03,635.00,710.00
2018-01-04,638.00,710.00
2018-01-05,640.00,713.00
2018-01-08,644.00,720.00
2018-01-09,648.00,727.00
2018-01-10,652.00,731.00
2018-01-11,652.00,734.00
2018-01-12,655.00,738.00
2018-01-15,659.00,740.00
2018-01-16,659.00,741.00
2018-01-17,659.00,742.00
2018-01-18,659.00,742.00
2018-01-19,662.00,743.00
2018-01-22,668.00,746.00
2018-01-23,670.00,750.00
2018-01-24,672.00,750.00
2018-01-25,673.00,750.00
2018-01-26,677.00,755.00
2018-01-29,683.00,757.00
2018-01-30,686.00,762.00
2018-01-31,691.00,766.00
2018-02-01,693.00,768.00
2018-02-02,696.00,770.00
2018-02-05,683.00,750.00
2018-02-06,681.00,750.00
2018-02-07,681.00,750.00
2018-02-08,678.00,748.00
2018-02-09,677.00,745.00
2018-02-23,660.00,728.00
2018-02-26,658.00,724.00
2018-02-27,653.00,718.00
2018-02-28,639.00,702.00
2018-03-01,630.00,694.00
2018-03-02,627.00,689.00
2018-03-05,622.00,681.00
2018-03-06,618.00,675.00
2018-03-07,610.00,670.00
2018-03-08,609.00,665.00
2018-03-09,603.00,655.00
2018-03-12,595.00,645.00
2018-03-13,593.00,645.00
2018-03-14,585.00,643.00
2018-03-15,581.00,640.00
2018-03-16,580.00,639.00
2018-03-19,580.00,639.00
2018-03-20,579.00,639.00
2018-03-21,574.00,638.00
2018-03-22,572.00,636.00
2018-03-23,569.00,631.00
2018-03-26,565.00,626.00
2018-03-27,562.00,624.00
2018-03-28,559.00,620.00
2018-03-29,555.00,615.00
2018-03-30,552.00,612.00
2018-04-02,549.00,605.00
2018-04-03,535.00,595.00
2018-04-04,525.00,590.00
2018-04-08,515.00,587.00
2018-04-09,505.00,584.00
2018-04-10,498.00,580.00
2018-04-11,496.00,579.00
2018-04-12,490.00,575.00
2018-04-13,487.00,573.00
2018-04-16,480.00,568.00
2018-04-17,480.00,568.00
2018-04-18,480.00,568.00
2018-04-19,480.00,568.00
2018-04-20,485.00,570.00
2018-04-23,495.00,581.00
2018-04-24,505.00,594.00
2018-04-25,504.00,592.00
2018-04-26,504.00,592.00
2018-04-27,504.00,592.00
2018-04-28,504.00,592.00
2018-05-02,504.00,592.00
2018-05-03,506.00,595.00
2018-05-04,510.00,600.00
2018-05-07,518.00,610.00
2018-05-08,524.00,617.00
2018-05-09,528.00,620.00
2018-05-10,531.00,621.00
2018-05-11,533.00,621.00
2018-05-14,537.00,631.00
2018-05-15,543.00,636.00
2018-05-16,553.00,647.00
2018-05-17,560.00,653.00
2018-05-18,563.00,655.00
2018-05-21,569.00,660.00
2018-05-22,569.00,658.00
2018-05-23,563.00,653.00
2018-05-24,557.00,647.00
2018-05-25,549.00,639.00
2018-05-28,549.00,639.00
2018-05-29,549.00,639.00
2018-05-30,555.00,644.00
2018-05-31,563.00,653.00
2018-06-01,575.00,670.00
2018-06-04,588.00,680.00
2018-06-05,602.00,692.00
2018-06-06,610.00,698.00
2018-06-07,612.00,702.00
2018-06-08,612.00,702.00
2018-06-11,612.00,702.00
2018-06-12,612.00,702.00
2018-06-13,612.00,702.00
2018-06-14,610.00,700.00
2018-06-15,607.00,692.00
2018-06-19,605.00,690.00
2018-06-20,605.00,690.00
2018-06-21,598.00,683.00
2018-06-22,597.00,682.00
2018-06-25,597.00,682.00
2018-06-26,597.00,682.00
2018-06-27,597.00,682.00
2018-06-28,597.00,682.00
2018-06-29,597.00,682.00
2018-07-02,597.00,682.00
2018-07-03,597.00,682.00
2018-07-04,600.00,682.00
2018-07-05,600.00,684.00
2018-07-06,603.00,686.00
2018-07-09,603.00,686.00
2018-07-10,605.00,688.00
2018-07-11,605.00,688.00
2018-07-12,603.00,684.00
2018-07-13,600.00,680.00
2018-07-16,597.00,675.00
2018-07-17,594.00,671.00
2018-07-18,587.00,664.00
2018-07-19,585.00,662.00
2018-07-20,581.00,659.00
2018-07-23,575.00,655.00
2018-07-24,570.00,650.00
2018-07-25,564.00,645.00
2018-07-26,555.00,635.00
2018-07-27,550.00,630.00
2018-07-30,538.00,625.00
2018-07-31,528.00,618.00
2018-08-01,518.00,611.00
2018-08-02,513.00,603.00
2018-08-03,511.00,601.00
2018-08-06,509.00,599.00
2018-08-07,515.00,607.00
2018-08-08,521.00,612.00
2018-08-09,524.00,614.00
2018-08-10,528.00,620.00
2018-08-13,536.00,627.00
2018-08-14,536.00,627.00
2018-08-15,536.00,627.00
2018-08-16,536.00,625.00
2018-08-17,535.00,622.00
2018-08-20,533.00,620.00
2018-08-21,529.00,616.00
2018-08-22,528.00,614.00
2018-08-23,529.00,614.00
2018-08-24,532.00,615.00
2018-08-27,538.00,621.00
2018-08-28,541.00,625.00
2018-08-29,542.00,625.00
2018-08-30,540.00,624.00
2018-08-31,538.00,623.00
2018-09-03,537.00,623.00
2018-09-04,535.00,622.00
2018-09-05,536.00,623.00
2018-09-06,539.00,625.00
2018-09-07,545.00,630.00
2018-09-10,549.00,634.00
2018-09-11,551.00,635.00
2018-09-12,552.00,636.00
2018-09-13,553.00,636.00
2018-09-14,553.00,635.00
2018-09-17,552.00,633.00
2018-09-18,550.00,630.00
2018-09-19,550.00,628.00
2018-09-20,555.00,631.00
2018-09-21,560.00,635.00
2018-09-25,560.00,635.00
2018-09-26,562.00,637.00
2018-09-27,564.00,638.00
2018-09-28,567.00,640.00
2018-09-29,568.00,642.00
2018-09-30,568.00,643.00
2018-10-08,572.00,648.00
2018-10-09,580.00,655.00
2018-10-10,585.00,661.00
2018-10-11,591.00,664.00
2018-10-12,597.00,667.00
2018-10-15,605.00,670.00
2018-10-16,607.00,670.00
2018-10-17,609.00,674.00
2018-10-18,609.00,676.00
2018-10-19,608.00,676.00
2018-10-22,603.00,673.00
2018-10-23,600.00,669.00
2018-10-24,596.00,662.00
2018-10-25,594.00,658.00
2018-10-26,590.00,649.00
2018-10-29,587.00,646.00
2018-10-30,585.00,645.00
2018-10-31,584.00,645.00
2018-11-01,585.00,647.00
2018-11-02,587.00,649.00
2018-11-05,589.00,651.00
2018-11-06,591.00,653.00
2018-11-07,590.00,652.00
2018-11-08,585.00,647.00
2018-11-09,582.00,642.00
2018-11-12,580.00,640.00
2018-11-13,575.00,636.00
2018-11-14,571.00,631.00
2018-11-15,563.00,628.00
2018-11-16,560.00,626.00
2018-11-19,560.00,626.00
2018-11-20,560.00,626.00
2018-11-21,561.00,627.00
2018-11-22,563.00,630.00
2018-11-23,563.00,632.00
2018-11-26,563.00,632.00
2018-11-27,565.00,634.00
2018-11-28,565.00,634.00
2018-11-29,565.00,633.00
2018-11-30,562.00,631.00
2018-12-03,558.00,628.00
2018-12-04,556.00,626.00
2018-12-05,554.00,624.00
2018-12-06,551.00,621.00
2018-12-07,549.00,620.00
2018-12-10,548.00,620.00
2018-12-11,549.00,621.00
2018-12-12,548.00,620.00
2018-12-13,546.00,618.00
2018-12-14,541.00,614.00
2018-12-17,536.00,610.00
2018-12-18,531.00,606.00
2018-12-19,527.00,603.00
2018-12-20,520.00,598.00
2018-12-21,513.00,593.00
2018-12-24,505.00,588.00
2018-12-25,499.00,582.00
2018-12-26,496.00,578.00
2018-12-27,495.00,577.00
2018-12-28,497.00,579.00
2018-12-29,502.00,583.00
2019-01-02,506.00,585.00
2019-01-03,510.00,589.00
2019-01-04,515.00,591.00
2019-01-07,517.00,593.00
2019-01-08,517.00,593.00
2019-01-09,515.00,590.00
2019-01-10,509.00,584.00
2019-01-11,503.00,579.00
2019-01-14,505.00,580.00
2019-01-15,508.00,582.00
2019-01-16,510.00,584.00
2019-01-17,515.00,590.00
2019-01-18,518.00,594.00
2019-01-21,519.00,597.00
2019-01-22,517.00,597.00
2019-01-23,516.00,595.00
