发布日期,Q5000S0.8,Q5500S0.8
2017-01-03,611.00,691.00
2017-01-04,610.00,691.00
2017-01-05,606.00,685.00
2017-01-06,606.00,681.00
2017-01-09,603.00,677.00
2017-01-10,597.00,671.00
2017-01-11,592.00,667.00
2017-01-12,591.00,666.00
2017-01-13,591.00,666.00
2017-01-16,591.00,666.00
2017-01-17,588.00,663.00
2017-01-18,583.00,660.00
2017-01-19,580.00,660.00
2017-01-20,578.00,639.00
2017-02-06,576.00,635.00
2017-02-07,575.00,634.00
2017-02-08,575.00,634.00
2017-02-09,575.00,634.00
2017-02-10,575.00,634.00
2017-02-13,575.00,633.00
2017-02-14,574.00,632.00
2017-02-15,575.00,630.00
2017-02-16,576.00,630.00
2017-02-17,578.00,633.00
2017-02-20,581.00,635.00
2017-02-21,585.00,639.00
2017-02-22,589.00,640.00
2017-02-23,594.00,644.00
2017-02-24,604.00,654.00
2017-02-27,608.00,660.00
2017-02-28,608.00,666.00
2017-03-01,613.00,672.00
2017-03-02,615.00,678.00
2017-03-03,625.00,685.00
2017-03-06,631.00,692.00
2017-03-07,636.00,697.00
2017-03-08,640.00,705.00
2017-03-09,645.00,719.00
2017-03-10,656.00,727.00
2017-03-13,656.00,730.00
2017-03-14,654.00,730.00
2017-03-15,655.00,731.00
2017-03-16,654.00,735.00
2017-03-17,654.00,735.00
2017-03-20,653.00,735.00
2017-03-21,653.00,735.00
2017-03-22,654.00,735.00
2017-03-23,653.00,735.00
2017-03-24,653.00,735.00
2017-03-27,654.00,735.00
2017-03-28,653.00,734.00
2017-03-29,653.00,734.00
2017-03-30,653.00,734.00
2017-03-31,653.00,734.00
2017-04-01,653.00,734.00
2017-04-05,653.00,734.00
2017-04-06,654.00,734.00
2017-04-07,654.00,733.00
2017-04-10,654.00,731.00
2017-04-11,653.00,729.00
2017-04-12,649.00,723.00
2017-04-13,646.00,723.00
2017-04-14,643.00,723.00
2017-04-17,641.00,720.00
2017-04-18,635.00,717.00
2017-04-19,628.00,711.00
2017-04-20,626.00,710.00
2017-04-21,617.00,700.00
2017-04-24,615.00,698.00
2017-04-25,610.00,695.00
2017-04-26,606.00,691.00
2017-04-27,603.00,689.00
2017-04-28,592.00,683.00
2017-05-02,590.00,677.00
2017-05-03,590.00,675.00
2017-05-04,590.00,671.00
2017-05-05,582.00,662.00
2017-05-08,580.00,662.00
2017-05-09,576.00,660.00
2017-05-10,574.00,659.00
2017-05-11,568.00,657.00
2017-05-12,564.00,651.00
2017-05-15,562.00,651.00
2017-05-16,558.00,647.00
2017-05-17,557.00,646.00
2017-05-18,556.00,646.00
2017-05-19,556.00,639.00
2017-05-22,555.00,631.00
2017-05-23,555.00,621.00
2017-05-24,555.00,619.00
2017-05-25,555.00,617.00
2017-05-26,555.00,617.00
2017-05-27,555.00,615.00
2017-05-31,555.00,615.00
2017-06-01,555.00,615.00
2017-06-02,555.00,615.00
2017-06-05,555.00,615.00
2017-06-06,556.00,616.00
2017-06-07,557.00,617.00
2017-06-08,557.00,617.00
2017-06-09,557.00,619.00
