_ID,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE,国家,煤种,税率类型,税率,开始日期,结束日期,调整说明
1,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,澳大利亚,煤炭,进口协定税率,0.00,2018-08-23,,
2,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,俄罗斯,其他烟煤,进口最惠国税率,6.00,2018-08-23,2022-04-30,
3,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,哥伦比亚,其他烟煤,进口最惠国税率,6.00,2018-08-23,2022-04-30,
4,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,加拿大,其他烟煤,进口最惠国税率,6.00,2018-08-23,2022-04-30,
5,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,美国,其他烟煤,进口最惠国税率,31.00,2018-08-23,2022-04-30,国务院关税税则委员会决定对《国务院关税税则委员会关于对原产于美国500亿美元进口商品加征关税的公告》（税委会公告〔2018〕5号）中对美加征关税商品清单二的商品作适当调整后，自2018年8月23日12时01分起实施加征25%的关税。
6,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,蒙古,其他烟煤,进口最惠国税率,6.00,2018-08-23,2022-04-30,
7,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,南非,其他烟煤,进口最惠国税率,6.00,2018-08-23,2022-04-30,
8,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,印尼,煤炭,进口协定税率,0.00,2018-08-23,,
9,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,俄罗斯,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
10,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,哥伦比亚,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
11,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,加拿大,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
12,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,美国,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
13,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,蒙古,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
14,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,南非,其他烟煤,进口最惠国税率,0.00,2022-05-01,2023-12-31,"国务院关税税则委员会关于调整煤炭进口关税的公告(税委会公告〔2022〕6号),为加强能源供应保障，推进高质量发展，国务院关税税则委员会按程序决定，自2022年5月1日至2023年3月31日，对煤炭实施税率为零的进口暂定税"
15,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,俄罗斯,其他烟煤,进口最惠国税率,6.00,2024-01-01,,"国务院关税税则委员会公布《中华人民共和国进出口税则（2024）》,2024年1月1日起，恢复煤炭进口关税。普通税率为20%；特惠税率为0；协定税率基本为0；最惠国税率中，无烟煤、炼焦煤、褐煤为3%，其他煤为6%。"
16,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,哥伦比亚,其他烟煤,进口最惠国税率,6.00,2024-01-01,,"国务院关税税则委员会公布《中华人民共和国进出口税则（2024）》,2024年1月1日起，恢复煤炭进口关税。普通税率为20%；特惠税率为0；协定税率基本为0；最惠国税率中，无烟煤、炼焦煤、褐煤为3%，其他煤为6%。"
17,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,加拿大,其他烟煤,进口最惠国税率,6.00,2024-01-01,,"国务院关税税则委员会公布《中华人民共和国进出口税则（2024）》,2024年1月1日起，恢复煤炭进口关税。普通税率为20%；特惠税率为0；协定税率基本为0；最惠国税率中，无烟煤、炼焦煤、褐煤为3%，其他煤为6%。"
18,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,美国,其他烟煤,进口最惠国税率,31.00,2024-01-01,,国务院关税税则委员会决定对《国务院关税税则委员会关于对原产于美国500亿美元进口商品加征关税的公告》（税委会公告〔2018〕5号）中对美加征关税商品清单二的商品作适当调整后，自2018年8月23日12时01分起实施加征25%的关税。
19,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,蒙古,其他烟煤,进口最惠国税率,6.00,2024-01-01,,"国务院关税税则委员会公布《中华人民共和国进出口税则（2024）》,2024年1月1日起，恢复煤炭进口关税。普通税率为20%；特惠税率为0；协定税率基本为0；最惠国税率中，无烟煤、炼焦煤、褐煤为3%，其他煤为6%。"
20,1,0,2024-07-02 11:57:25.680000,0,2024-07-02 11:57:25.680000,,,,南非,其他烟煤,进口最惠国税率,6.00,2024-01-01,,"国务院关税税则委员会公布《中华人民共和国进出口税则（2024）》,2024年1月1日起，恢复煤炭进口关税。普通税率为20%；特惠税率为0；协定税率基本为0；最惠国税率中，无烟煤、炼焦煤、褐煤为3%，其他煤为6%。"
