_ID,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE,发布日期,煤种,起拍价,销售量,硫分,热值,交货开始时间,交货结束时间
1,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-27,珠投2号,790.00,5.00,0.6-0.8,5000,2024-05-28,2024-06-10
2,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-24,珠投2号,805.00,5.00,0.6-0.8,5000,2024-05-25,2024-06-10
3,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-24,珠投5号,710.00,5.00,0.6-0.8,4500,2024-05-25,2024-06-10
4,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-24,珠投1号,900.00,1.80,0.6-0.8,5500,2024-05-25,2024-06-10
5,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-24,珠投1号,900.00,1.80,0.6-0.8,5500,2024-05-25,2024-06-10
6,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-24,珠投5号,710.00,5.00,0.6-0.8,4500,2024-05-25,2024-06-10
7,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-23,珠投2号,805.00,5.00,0.6-0.8,5000,2024-05-24,2024-06-10
8,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-22,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-23,2024-06-10
9,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-21,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-22,2024-06-10
10,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-21,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-22,2024-06-10
11,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-20,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-21,2024-06-10
12,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-17,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-18,2024-06-05
13,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-17,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-18,2024-06-05
14,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-17,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-18,2024-06-05
15,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-17,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-18,2024-06-05
16,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-16,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-17,2024-06-05
17,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-16,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-17,2024-06-05
18,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-16,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-17,2024-06-05
19,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-16,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-17,2024-06-05
20,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-13,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-14,2024-06-05
21,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-13,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-14,2024-06-05
22,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-13,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-14,2024-05-31
23,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-13,珠投5号,700.00,5.00,0.6-0.8,4500,2024-05-14,2024-05-31
24,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-11,珠投5号,700.00,4.00,0.6-0.8,4500,2024-05-12,2024-05-18
25,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-11,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-12,2024-05-18
26,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-08,珠投2号,800.00,5.00,0.6-0.8,5000,2024-05-09,2024-05-16
27,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-08,珠投1号,895.00,2.00,0.6-0.8,5500,2024-05-09,2024-05-16
28,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-08,珠投5号,700.00,4.00,0.6-0.8,4500,2024-05-09,2024-05-16
29,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-07,珠投2号,775.00,5.00,0.6-0.8,5000,2024-05-08,2024-05-15
30,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-05-06,珠投2号,755.00,5.00,0.6-0.8,5000,2024-05-07,2024-05-15
31,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-26,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-27,2024-05-05
32,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-26,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-27,2024-05-05
33,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-25,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-26,2024-05-05
34,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-25,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-26,2024-05-05
35,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-19,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-20,2024-04-27
36,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-18,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-19,2024-04-27
37,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-18,珠投2号,750.00,5.00,0.6-0.8,5000,2024-04-19,2024-04-27
38,1,0,2024-07-02 13:52:40.985000,0,2024-07-02 13:52:40.985000,,,,2024-04-17,珠投2号,740.00,5.00,0.6-0.8,5000,2024-04-18,2024-04-25
