发布日期,API4(6000NAR),API3(5500NAR),API5(5500NAR),API8(5800GAR)
2017-01-06,82.00,,64.95,73.12
2017-01-13,84.25,,64.00,72.07
2017-01-20,89.48,,63.30,71.66
2017-01-27,88.25,,62.64,70.80
2017-02-03,85.97,,63.23,70.92
2017-02-10,83.48,,63.52,71.32
2017-02-17,81.23,,63.82,71.19
2017-02-24,82.36,,64.83,72.50
2017-03-03,83.24,,66.06,74.67
2017-03-10,80.10,,67.15,76.42
2017-03-17,78.22,,69.46,78.97
2017-03-24,76.19,,70.55,80.10
2017-03-31,75.87,,72.05,81.29
2017-04-07,80.31,,73.96,82.78
2017-04-14,77.92,,73.46,82.41
2017-04-21,76.95,,71.26,80.68
2017-04-28,74.14,,68.38,77.74
2017-05-05,74.20,,65.99,75.04
2017-05-12,71.30,,63.21,71.82
2017-05-19,71.98,,60.77,70.00
2017-05-26,72.20,,60.86,69.50
2017-06-02,74.56,,61.21,69.27
2017-06-09,79.84,,63.50,70.97
2017-06-16,79.04,,66.19,74.46
2017-06-23,77.41,,68.48,76.55
2017-06-30,77.16,,67.77,75.50
2017-07-07,82.04,,68.15,75.49
2017-07-14,82.51,,70.38,77.14
2017-07-21,82.36,,72.15,79.33
2017-07-28,79.45,,72.62,80.17
2017-08-04,85.16,,72.92,80.80
2017-08-11,86.65,,72.89,81.27
2017-08-18,87.43,,73.57,82.08
2017-08-25,87.46,,73.88,82.28
2017-09-01,89.36,,73.88,82.93
2017-09-08,89.86,,75.28,83.66
2017-09-15,94.31,,76.20,85.74
2017-09-22,93.33,,77.98,88.22
2017-09-29,90.76,,77.93,88.34
2017-10-06,90.73,,77.97,88.26
2017-10-13,90.13,,77.74,88.16
2017-10-20,91.50,,78.76,88.57
2017-10-27,91.61,,78.05,88.58
2017-11-03,94.13,,77.37,88.23
2017-11-10,92.67,,75.71,86.34
2017-11-17,89.73,,74.18,84.81
2017-11-24,88.64,,73.34,83.81
2017-12-01,94.41,,73.85,85.34
2017-12-08,94.50,,73.46,85.85
2017-12-15,95.58,,74.43,86.28
2017-12-22,95.09,,76.77,88.08
2017-12-29,94.48,,77.68,88.47
2018-01-05,95.81,,79.35,88.85
2018-01-12,97.29,,81.88,92.09
2018-01-19,97.77,,84.44,93.23
2018-01-26,98.36,,86.21,94.80
2018-02-02,96.27,,86.95,96.49
2018-02-09,90.10,,86.38,96.66
2018-02-16,93.41,,85.55,96.40
2018-02-23,98.34,,85.63,96.89
2018-03-02,94.42,,82.49,92.84
2018-03-09,92.24,,78.34,87.84
2018-03-16,90.81,,73.45,83.70
2018-03-23,90.20,,72.79,82.93
2018-03-30,89.32,,71.68,80.71
2018-04-06,91.75,,71.08,79.79
2018-04-13,94.34,,69.66,78.04
2018-04-20,95.37,,69.71,78.78
2018-04-27,95.09,,71.36,81.08
2018-05-04,98.17,,73.47,82.53
2018-05-11,102.66,,74.08,83.88
2018-05-18,104.70,,74.79,86.01
2018-05-25,103.64,,74.47,85.52
2018-06-01,103.98,,75.88,86.44
2018-06-08,105.38,,78.72,88.24
2018-06-15,105.81,,79.85,89.21
2018-06-22,103.34,,79.32,89.92
2018-06-29,103.79,,78.75,88.11
2018-07-06,107.84,,77.87,87.58
2018-07-13,108.95,,74.55,85.34
2018-07-20,108.19,,72.90,82.74
2018-07-27,106.57,,68.69,80.05
2018-08-03,103.43,,65.22,78.06
2018-08-10,101.62,,64.64,76.24
2018-08-17,98.16,,64.93,76.00
2018-08-24,95.66,,65.02,75.52
2018-08-31,94.91,,65.10,76.49
2018-09-07,97.35,,64.74,76.39
2018-09-14,100.30,,65.31,76.34
2018-09-21,97.33,,65.51,76.73
2018-09-28,98.01,,65.67,77.82
2018-10-05,100.75,,67.11,78.55
2018-10-12,99.55,,65.08,77.67
2018-10-19,98.52,,64.12,77.19
2018-10-26,98.99,,64.49,76.64
2018-11-02,98.38,,64.51,76.52
2018-11-09,96.69,,64.19,75.78
2018-11-16,91.65,,62.13,73.13
2018-11-23,85.98,,60.28,69.91
2018-11-30,89.27,,58.44,69.52
2018-12-07,93.37,,59.18,69.95
2018-12-14,95.42,,60.10,70.54
2018-12-21,97.69,,60.19,70.22
2018-12-28,96.87,,60.20,70.09
2019-01-04,94.07,66.37,60.33,70.28
2019-01-11,90.23,63.48,60.35,70.12
2019-01-18,90.88,66.47,61.38,70.79
2019-01-25,89.33,65.16,62.87,71.88
2019-02-01,88.72,64.83,61.91,70.66
2019-02-08,84.06,61.44,61.49,70.56
2019-02-15,77.46,58.20,60.61,69.85
2019-02-22,78.79,61.22,60.06,68.37
2019-03-01,82.30,63.94,61.32,68.86
2019-03-08,80.44,62.42,58.36,68.26
2019-03-15,75.19,60.72,57.23,67.82
2019-03-22,71.33,57.12,56.35,67.02
2019-03-29,67.96,55.67,56.61,65.68
2019-04-05,65.52,53.73,56.29,65.18
2019-04-12,70.74,58.86,58.32,66.16
2019-04-19,69.72,59.13,59.91,67.28
2019-04-26,68.32,58.12,60.70,68.74
2019-05-03,70.42,60.53,61.10,69.08
2019-05-10,71.54,60.59,60.60,69.71
2019-05-17,66.47,56.52,60.49,69.29
2019-05-24,62.08,54.15,58.73,68.39
2019-05-31,60.18,52.26,56.61,66.69
2019-06-07,62.10,51.59,54.01,64.86
2019-06-14,63.98,51.38,52.39,63.63
2019-06-21,62.19,50.68,51.78,61.97
2019-06-28,64.32,50.79,50.78,61.68
2019-07-05,65.41,53.11,51.77,62.75
2019-07-12,65.85,54.66,52.54,64.68
