发布日期,ICI1,ICI2,ICI3,ICI4,ICI5
2017-01-06,88.66,72.40,56.16,37.25,28.19
2017-01-13,88.34,72.34,56.73,37.76,28.40
2017-01-20,88.79,73.92,58.75,39.13,28.82
2017-01-27,89.22,73.70,59.71,41.00,29.69
2017-02-03,89.59,74.02,60.28,42.69,30.50
2017-02-10,89.33,73.94,60.64,43.31,31.29
2017-02-17,88.72,73.33,60.99,43.86,31.73
2017-02-24,88.73,73.72,61.38,43.97,32.10
2017-03-03,89.29,74.41,61.78,44.60,32.29
2017-03-10,88.74,74.10,61.89,45.11,32.67
2017-03-17,88.83,74.40,62.43,45.56,33.06
2017-03-24,88.87,74.54,62.41,45.72,33.29
2017-03-31,88.45,74.74,63.12,46.01,32.62
2017-04-07,89.34,75.64,63.30,45.47,32.94
2017-04-14,89.20,74.98,63.21,44.69,32.68
2017-04-21,87.74,73.87,62.14,42.19,30.97
2017-04-28,84.68,72.20,60.66,39.28,30.20
2017-05-05,82.91,71.30,59.05,38.11,29.34
2017-05-12,80.82,70.25,58.01,37.20,28.76
2017-05-19,77.84,68.01,55.51,36.20,26.94
2017-05-26,76.80,67.52,54.42,36.70,26.69
2017-06-02,76.41,67.21,53.26,37.30,26.66
2017-06-09,79.33,68.62,53.86,39.11,27.90
2017-06-16,81.76,70.67,56.72,41.59,29.08
2017-06-23,82.40,72.05,57.85,42.04,29.48
2017-06-30,81.65,71.73,57.33,41.65,29.21
2017-07-07,80.96,71.34,55.89,40.91,28.55
2017-07-14,82.71,71.92,57.05,40.80,29.20
2017-07-21,88.68,74.00,58.43,41.85,28.66
2017-07-28,88.61,74.37,59.51,42.28,28.17
2017-08-04,91.58,75.20,60.24,42.55,27.92
2017-08-11,92.50,75.16,60.85,42.52,26.55
2017-08-18,93.01,76.27,60.84,42.41,26.34
2017-08-25,94.71,76.24,62.41,42.75,25.64
2017-09-01,96.38,76.62,62.41,43.02,25.75
2017-09-08,96.12,76.92,63.18,43.85,25.69
2017-09-15,97.70,77.31,64.20,44.75,26.32
2017-09-22,97.60,78.77,66.23,46.03,26.85
2017-09-29,97.51,79.28,67.26,46.35,27.42
2017-10-06,98.06,79.19,67.26,46.37,27.72
2017-10-13,96.93,79.00,67.33,46.41,27.68
2017-10-20,97.63,79.41,67.74,46.80,27.73
2017-10-27,97.38,79.19,67.73,46.44,27.54
2017-11-03,97.27,78.87,67.05,46.09,27.31
2017-11-10,96.26,78.47,66.56,44.88,26.88
2017-11-17,95.16,77.71,65.67,44.16,26.63
2017-11-24,94.52,77.25,65.05,43.99,26.57
2017-12-01,94.66,77.84,65.23,44.20,26.62
2017-12-08,94.82,78.09,65.66,45.38,26.74
2017-12-15,97.51,79.50,66.33,46.09,26.94
2017-12-22,97.35,79.63,66.70,46.34,27.12
2017-12-29,97.95,79.79,67.06,46.81,27.49
2018-01-05,98.64,79.99,67.78,47.31,27.94
2018-01-12,99.30,81.25,68.30,48.02,28.20
2018-01-19,99.79,82.00,68.97,48.59,28.49
2018-01-26,101.37,84.60,70.37,48.84,29.30
2018-02-02,102.50,84.69,71.89,49.58,29.87
2018-02-09,102.70,86.15,72.13,50.16,30.33
2018-02-16,102.72,86.05,72.37,50.32,30.31
2018-02-23,105.32,87.35,73.12,51.04,31.00
2018-03-02,102.13,86.29,72.92,49.98,30.67
2018-03-09,100.29,84.56,71.00,48.45,29.43
2018-03-16,98.32,81.96,69.13,46.12,28.58
2018-03-23,93.95,79.73,66.65,43.55,27.47
2018-03-30,92.58,77.31,64.42,42.19,26.32
2018-04-06,91.16,75.77,63.49,41.48,26.21
2018-04-13,90.96,74.55,62.37,41.08,25.68
2018-04-20,90.35,73.98,61.64,41.13,25.69
2018-04-27,91.26,74.52,61.88,41.85,25.85
2018-05-04,93.60,75.38,62.78,42.79,26.18
2018-05-11,94.89,76.27,63.35,44.02,26.89
2018-05-18,98.37,77.99,64.88,45.55,27.55
2018-05-25,98.86,78.53,65.26,45.85,27.72
2018-06-01,98.92,79.14,65.68,46.82,28.08
2018-06-08,101.32,80.13,66.66,47.74,28.57
2018-06-15,102.99,80.50,66.83,48.08,28.64
2018-06-22,102.79,81.11,67.68,48.71,29.50
2018-06-29,102.17,81.14,67.15,47.82,29.03
2018-07-06,102.18,81.14,66.76,47.63,28.69
2018-07-13,103.92,81.17,67.23,47.64,28.42
2018-07-20,105.78,80.46,65.65,47.48,28.31
2018-07-27,105.17,79.78,63.35,45.06,27.48
2018-08-03,104.26,76.65,61.02,42.00,26.72
2018-08-10,102.55,75.16,59.98,40.48,26.25
2018-08-17,100.73,73.62,58.18,39.66,25.84
2018-08-24,99.78,71.96,55.88,38.09,25.09
2018-08-31,98.35,71.33,54.69,37.72,24.36
2018-09-07,97.14,70.68,54.35,37.95,24.34
2018-09-14,97.37,70.35,54.05,38.39,24.21
2018-09-21,99.41,70.67,53.59,38.72,23.94
2018-09-28,98.98,70.36,53.28,38.56,24.03
2018-10-05,98.20,70.29,53.61,38.88,24.12
2018-10-12,97.92,70.25,53.46,38.43,23.78
2018-10-19,97.69,70.34,52.52,38.13,23.52
2018-10-26,97.43,70.07,51.76,37.31,23.20
2018-11-02,96.01,69.54,50.63,36.07,22.71
2018-11-09,96.08,67.73,49.88,34.64,22.23
2018-11-16,94.59,66.90,48.64,32.29,21.59
2018-11-23,92.39,65.04,47.33,29.87,19.73
2018-11-30,92.32,64.86,46.62,28.85,19.12
2018-12-07,92.78,64.73,46.59,29.56,19.04
2018-12-14,93.25,65.74,46.61,30.43,19.01
2018-12-21,95.63,65.98,46.92,30.54,19.23
2018-12-28,95.46,65.55,46.66,30.29,19.00
2019-01-04,95.64,65.56,47.09,30.26,19.10
2019-01-11,96.22,65.86,47.83,31.00,19.44
2019-01-18,98.07,66.74,50.08,32.30,20.10
2019-01-25,98.26,68.29,51.04,33.51,20.44
2019-02-01,98.53,68.64,52.44,34.37,21.21
2019-02-08,98.43,68.84,53.19,34.45,21.09
2019-02-15,95.41,69.68,54.66,35.40,21.38
2019-02-22,95.12,70.06,56.05,37.01,21.88
2019-03-01,95.51,70.22,56.68,38.48,22.21
2019-03-08,95.99,71.01,57.35,40.32,22.84
2019-03-15,95.05,70.98,56.66,39.76,23.00
2019-03-22,94.01,69.35,55.21,37.80,21.88
2019-03-29,93.69,68.49,54.48,36.75,21.71
2019-04-05,85.16,67.18,53.39,37.30,21.63
2019-04-12,87.10,67.64,53.20,37.59,21.82
2019-04-19,86.43,67.23,52.75,38.23,22.93
2019-04-26,83.00,67.29,52.57,38.44,22.38
2019-05-03,85.02,67.95,53.11,39.00,22.90
2019-05-10,85.25,67.96,53.29,39.15,23.34
2019-05-17,83.51,67.32,52.84,38.78,23.00
2019-05-24,82.43,66.58,52.36,38.00,22.47
2019-05-31,80.73,65.32,51.43,37.36,22.15
2019-06-07,78.56,64.93,50.56,36.66,21.98
2019-06-14,75.98,64.08,49.54,35.84,21.57
2019-06-21,74.52,63.80,49.21,36.06,21.92
2019-06-28,73.86,63.55,49.17,35.81,21.73
2019-07-05,73.84,63.43,49.17,35.99,21.71
2019-07-12,74.60,63.69,49.32,35.89,21.49
2019-07-19,74.36,63.16,48.76,34.71,21.19
2019-07-26,73.94,63.00,48.73,33.70,20.78
2019-08-02,71.22,62.09,48.66,33.32,20.45
2019-08-09,71.05,61.45,47.63,32.34,20.04
2019-08-16,69.00,60.32,46.95,31.45,19.45
2019-08-23,68.36,59.59,46.29,30.96,19.13
2019-08-30,66.70,58.45,45.93,31.22,19.20
2019-09-06,66.74,58.35,46.02,31.57,19.51
2019-09-13,67.76,58.55,46.91,32.17,19.91
2019-09-20,68.02,58.79,47.23,32.69,20.16
2019-09-27,68.51,58.77,47.73,33.10,20.48
2019-10-04,68.77,58.75,47.86,33.19,20.58
2019-10-11,69.30,59.08,48.15,33.65,21.08
2019-10-18,69.91,59.74,48.67,34.36,21.34
2019-10-25,70.19,60.06,49.44,35.10,21.75
2019-11-01,70.04,60.43,49.57,35.06,22.42
2019-11-08,69.80,59.97,49.74,34.51,21.89
2019-11-15,69.20,59.36,49.19,33.88,21.62
2019-11-22,69.32,59.12,48.98,33.52,21.32
2019-11-29,69.54,59.25,49.02,33.71,21.46
2019-12-06,69.31,59.41,49.46,34.43,21.67
2019-12-13,69.28,59.32,49.57,34.52,21.61
2019-12-20,69.05,59.22,49.43,34.16,21.48
2019-12-27,68.89,59.17,49.17,33.83,21.43
2020-01-03,68.42,58.80,49.01,33.77,21.25
2020-01-10,68.78,59.48,49.39,34.27,21.27
2020-01-17,69.25,59.94,49.58,35.08,21.77
2020-01-24,69.75,60.40,50.23,35.44,21.92
2020-01-31,68.98,59.84,50.18,35.48,21.84
2020-02-07,69.56,60.84,51.45,36.40,22.16
2020-02-14,69.77,61.05,51.68,36.67,22.46
2020-02-21,69.88,61.13,51.27,35.92,22.39
2020-02-28,69.19,60.95,50.70,34.82,22.28
2020-03-06,68.75,60.44,49.15,33.79,21.92
2020-03-13,68.13,59.51,47.80,32.77,21.56
2020-03-20,67.40,58.53,46.61,31.84,21.31
2020-03-27,66.73,57.65,45.42,31.50,21.07
2020-04-03,66.52,56.51,44.49,30.83,20.78
2020-04-10,65.41,56.04,43.68,30.34,20.46
2020-04-17,62.71,53.55,41.87,28.23,19.52
2020-04-24,59.16,51.07,39.59,26.03,18.27
2020-05-01,56.98,49.97,37.98,24.24,17.32
2020-05-08,55.17,48.61,37.09,24.15,17.31
2020-05-15,55.33,48.70,37.94,25.71,17.61
2020-05-22,56.37,51.17,39.67,27.98,17.82
2020-05-29,56.54,51.11,40.40,29.37,18.26
2020-06-05,56.42,49.85,40.22,27.66,18.24
2020-06-12,55.48,48.03,38.61,25.38,18.06
2020-06-19,54.36,46.91,37.64,24.34,17.90
2020-06-26,53.63,45.35,36.74,23.89,17.70
2020-07-03,53.23,44.17,35.93,23.56,17.48
2020-07-10,53.01,45.13,36.10,23.39,17.23
2020-07-17,53.80,45.05,36.50,24.24,17.73
2020-07-24,54.16,45.57,36.93,25.36,18.00
2020-07-31,53.68,45.56,37.22,25.48,18.15
2020-08-07,53.46,45.45,37.39,25.12,18.10
2020-08-14,53.05,44.92,36.83,24.05,17.97
2020-08-21,52.88,44.24,36.05,23.57,17.78
2020-08-28,52.33,43.97,36.01,22.86,17.61
2020-09-04,51.91,44.21,35.76,22.63,17.01
2020-09-11,51.97,43.99,35.65,22.65,16.94
2020-09-18,53.63,44.77,36.62,23.57,17.37
2020-09-25,55.33,45.77,37.58,25.13,17.82
2020-10-02,55.82,46.68,38.56,26.03,18.36
2020-10-09,56.53,47.07,39.13,27.02,18.74
2020-10-16,57.25,48.17,40.94,29.13,19.18
2020-10-23,57.81,48.94,41.60,29.47,19.56
2020-10-30,58.02,48.86,41.21,28.91,19.38
2020-11-06,58.11,49.60,41.15,28.93,19.19
2020-11-13,58.67,49.34,41.36,28.94,19.16
2020-11-20,59.52,51.59,42.40,29.88,19.57
2020-11-27,62.68,54.09,45.26,31.78,19.59
2020-12-04,67.05,57.20,47.99,33.47,21.06
2020-12-11,72.12,61.70,53.18,36.11,21.82
2020-12-18,80.35,66.58,62.02,41.11,23.31
2020-12-25,85.10,71.65,66.85,44.80,24.54
2021-01-01,83.69,72.34,66.01,44.90,24.94
