开始日期,神混1-5500,神混2-5200,神混5000,神混3-4800,神混4-4500,准2-4900,5500K,5000K,4500,5500,5000
2020-03-01,546.00,516.00,496.00,477.00,447.00,486.00,,,,,
2020-04-01,543.00,,,,,,,,,,
2020-05-01,,,,,,,529.00,481.00,433.00,,
2020-06-01,530.00,501.00,482.00,463.00,434.00,472.00,,,,,
2020-07-01,538.00,509.00,489.00,470.00,440.00,479.00,,,,,
2020-08-01,543.00,513.00,494.00,474.00,444.00,484.00,,,,,
2020-09-01,542.00,512.00,493.00,473.00,,,,,,,
2020-10-01,,,,,,,,,448.00,547.00,497.00
2020-11-01,,,,,,,,,452.00,553.00,503.00
2020-12-01,,,,,,,,,457.00,558.00,507.00
2021-01-01,,,,,,,,,475.00,581.00,528.00
2021-02-01,,,,,,,,,502.00,614.00,558.00
2021-03-01,,,,,,,,,471.00,576.00,524.00
2021-04-01,,,,,,,,,466.00,569.00,517.00
2021-05-01,,,,,,,,,488.00,596.00,542.00
2021-06-01,,,,,,,,,488.00,596.00,542.00
2021-07-01,,,,,,,,,518.00,633.00,575.00
2021-08-01,,,,,,,,,542.00,663.00,603.00
2021-09-01,,,,,,,,,554.00,677.00,615.00
2021-10-01,,,,,,,,,617.00,754.00,685.00
2021-11-01,,,,,,,,,617.00,754.00,685.00
2021-12-01,,,,,,,,,593.00,725.00,659.00
2022-01-01,,,,,,,,,593.00,725.00,659.00
2022-02-01,,,,,,,,,593.00,725.00,659.00
2022-03-01,,,,,,,,,589.00,,655.00
2022-04-01,,,,,,,,,589.00,,655.00
2022-05-01,,,,,,,,,535.00,719.00,654.00
2022-06-01,,,,,,,,,588.00,719.00,654.00
2022-07-01,,,,,,,,,588.00,719.00,654.00
2022-08-01,,,,,,,,,588.00,719.00,654.00
2022-09-01,,,,,,,,,588.00,719.00,654.00
2022-10-01,,,,,,,,,588.00,719.00,654.00
2022-11-01,,,,,,,,,596.00,728.00,662.00
2022-12-01,,,,,,,,,596.00,728.00,662.00
2023-01-01,,,,,,,,,596.00,728.00,662.00
2023-02-01,,,,,,,,,595.00,727.00,661.00
2023-03-01,,,,,,,,,592.00,724.00,658.00
2023-04-01,,,,,,,,,592.00,723.00,657.00
2023-05-01,,,,,,,,,588.00,719.00,654.00
2023-06-01,,,,,,,,,580.00,709.00,645.00
2023-07-01,,,,,,,,,574.00,701.00,637.00
2023-08-01,,,,,,,,,576.00,704.00,640.00
2023-09-01,,,,,,,,,572.00,699.00,635.00
2023-10-01,,,,,,,,,580.00,709.00,645.00
2023-11-01,,,,,,,,,583.00,713.00,648.00
2023-12-01,,,,,,,,,581.00,710.00,645.00
2024-01-01,,,,,,,,,581.00,,1355.00
2024-02-01,,,,,,,,,579.00,708.00,644.00
2024-03-01,,,,,,,,,579.00,708.00,644.00
2024-04-01,,,,,,,,,574.00,701.00,637.00
2024-05-01,,,,,,,,,570.00,697.00,634.00
2024-06-01,,,,,,,,,573.00,700.00,636.00
2024-07-01,,,,,,,,,573.00,700.00,636.00
2024-08-01,,,,,,,,,572.00,699.00,635.00
2024-09-01,,,,,,,,,570.00,697.00,634.00
2024-10-01,,,,,,,,,572.00,699.00,635.00
2024-11-01,,,,,,,,,572.00,699.00,635.00
2024-12-01,,,,,,,,,569.00,696.00,633.00
2025-01-01,,,,,,,,,567.00,693.00,630.00
2025-02-01,,,,,,,,,565.00,691.00,628.00
2025-03-01,,,,,,,,,561.00,686.00,624.00
2025-04-01,,,,,,,,,556.00,679.00,617.00
2025-05-01,,,,,,,,,552.00,675.00,614.00
2025-06-01,,,,,,,,,,,
2025-07-01,,,,,,,,,,,
2025-08-01,,,,,,,,,,,
