时间,地区,0#柴油_价格,0#柴油_上期价格,0#柴油_涨跌,89#汽油_价格,89#汽油_上期价格,89#汽油_涨跌,92#汽油_价格,92#汽油_上期价格,92#汽油_涨跌,95#汽油_价格,95#汽油_上期价格,95#汽油_涨跌,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-14 00:00:00,安徽,7.55,7.71,-0.16,7.31,7.45,-0.14,7.80,7.95,-0.15,8.35,8.51,-0.16,1710,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,海南,7.60,7.76,-0.16,8.27,8.40,-0.13,8.96,9.11,-0.15,9.52,9.68,-0.16,1711,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,河北,7.52,7.67,-0.15,7.27,7.41,-0.14,7.84,7.99,-0.15,8.29,8.45,-0.16,1712,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,河南,7.50,7.66,-0.16,,,,7.86,8.01,-0.15,8.39,8.55,-0.16,1713,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,湖北,7.51,7.66,-0.15,,,,7.86,8.01,-0.15,8.41,8.58,-0.17,1714,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,福建,7.51,7.66,-0.15,7.27,7.41,-0.14,7.81,7.96,-0.15,8.34,8.50,-0.16,1715,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,甘肃,7.42,7.57,-0.15,7.25,7.39,-0.14,7.85,8.00,-0.15,8.38,8.54,-0.16,1716,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,广东,7.52,7.68,-0.16,7.30,7.45,-0.15,7.87,8.02,-0.15,8.52,8.69,-0.17,1717,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,广西,7.57,7.73,-0.16,7.36,7.50,-0.14,7.91,8.06,-0.15,8.54,8.71,-0.17,1718,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,贵州,7.62,7.77,-0.15,7.53,7.67,-0.14,7.98,8.13,-0.15,8.43,8.59,-0.16,1719,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,湖南,7.58,7.74,-0.16,7.31,7.45,-0.14,7.80,7.95,-0.15,8.29,8.45,-0.16,1720,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
