发布日期,CCI5500,CCI5000,CCI4500,CCI进口3800,CCI进口4700,CCI进口5500,内蒙古鄂尔多斯5500,山西大同5500,陕西榆林5800
2017-01-03,615.00,547.00,,348.21,493.37,595.31,375.00,445.00,440.00
2017-01-04,612.00,544.00,,344.95,489.29,595.31,375.00,445.00,440.00
2017-01-05,608.50,540.00,,343.47,487.19,595.99,375.00,445.00,440.00
2017-01-06,607.00,540.00,,341.49,484.38,592.56,375.00,445.00,440.00
2017-01-09,607.00,540.00,,343.15,483.82,596.85,375.00,445.00,440.00
2017-01-10,607.00,540.00,,341.52,483.82,592.79,375.00,445.00,440.00
2017-01-11,605.00,540.00,,341.03,483.13,588.69,375.00,445.00,440.00
2017-01-12,605.00,539.00,,341.03,483.13,584.63,375.00,435.00,440.00
2017-01-13,604.00,539.00,,343.60,481.04,582.10,375.00,435.00,440.00
2017-01-16,600.00,536.00,,351.68,481.04,582.10,375.00,435.00,440.00
2017-01-17,603.00,538.00,,355.73,481.04,578.06,375.00,435.00,440.00
2017-01-18,603.00,538.00,,353.15,477.56,569.86,375.00,435.00,440.00
2017-01-19,603.00,538.00,,357.69,482.27,570.69,375.00,425.00,440.00
2017-01-20,603.00,538.00,,358.21,482.98,571.52,375.00,425.00,440.00
2017-01-22,603.00,538.00,,358.21,482.98,571.52,375.00,425.00,440.00
2017-01-23,603.00,538.00,,369.74,485.49,570.69,375.00,425.00,440.00
2017-01-24,603.00,538.00,,368.67,484.08,569.03,375.00,425.00,440.00
2017-01-25,603.00,538.00,,369.74,485.49,569.08,375.00,425.00,440.00
2017-01-26,603.00,538.00,,370.28,486.20,569.91,375.00,425.00,440.00
2017-02-03,598.00,536.00,,376.17,498.35,569.08,375.00,425.00,440.00
2017-02-04,598.00,536.00,,376.72,499.08,569.91,375.00,425.00,440.00
2017-02-06,593.00,535.00,,392.25,518.44,569.08,375.00,425.00,440.00
2017-02-07,593.00,532.00,,392.82,531.27,571.52,375.00,425.00,440.00
2017-02-08,593.00,532.00,,393.96,532.82,573.18,375.00,425.00,440.00
2017-02-09,592.00,530.00,,394.43,531.27,571.52,375.00,425.00,440.00
2017-02-10,592.00,530.00,,395.00,532.05,576.38,375.00,425.00,440.00
2017-02-13,590.00,530.00,,395.58,518.29,573.18,375.00,425.00,440.00
2017-02-14,590.00,530.00,,395.00,515.92,572.35,375.00,425.00,440.00
2017-02-15,590.00,531.00,,398.46,515.17,571.52,375.00,425.00,440.00
2017-02-16,590.00,531.00,,400.87,515.17,569.91,370.00,425.00,440.00
2017-02-17,592.00,533.00,,400.29,514.43,569.08,370.00,425.00,435.00
2017-02-20,598.00,537.00,,400.87,515.17,569.91,370.00,425.00,435.00
2017-02-21,602.00,540.00,,400.65,517.54,576.38,370.00,425.00,435.00
2017-02-22,605.00,546.00,,407.10,521.57,580.41,370.00,425.00,435.00
2017-02-23,606.50,546.00,,409.51,523.98,584.44,370.00,435.00,435.00
