发布日期,达拉特旗高头窑-鄂尔多斯罕台川北站,鄂尔多斯黄天棉图-鄂尔多斯罕台川北站,达拉特旗万利-鄂尔多斯罕台川北站,鄂尔多斯弓家塔-鄂尔多斯巴图塔站,鄂尔多斯新庙-鄂尔多斯巴图塔站,鄂尔多斯乌兰木伦-鄂尔多斯新街,鄂尔多斯纳林塔矿区-鄂尔多斯海勒斯壕,鄂尔多斯乌兰木伦-鄂尔多斯石圪台站,鄂尔多斯纳林塔矿区-鄂尔多斯转龙湾站,鄂尔多斯黄天棉图-鄂尔多斯李家壕
2017-01-06,22.00,36.00,8.50,25.00,21.00,13.00,14.00,8.50,18.00,
2017-01-13,22.00,36.00,8.50,25.00,21.00,13.00,14.00,8.50,18.00,
2017-01-20,23.00,36.00,9.00,25.00,21.00,15.00,14.00,8.50,18.00,
2017-02-10,23.00,36.00,9.00,25.00,21.00,15.00,14.00,8.50,18.00,
2017-02-16,23.00,36.00,9.00,25.00,21.00,15.00,14.00,8.50,18.00,
2017-02-24,23.00,36.00,9.00,25.00,19.00,15.00,14.00,8.50,18.00,
2017-03-03,21.00,34.00,9.00,25.00,19.00,13.00,14.00,8.50,18.00,
2017-03-10,21.00,35.00,9.00,27.00,21.00,15.00,14.00,8.50,18.00,
2017-03-17,21.00,35.00,9.00,27.00,21.00,15.00,14.00,8.50,18.00,
2017-03-24,21.00,34.00,9.00,27.00,21.00,15.00,15.00,8.50,19.00,
2017-03-31,21.00,34.00,9.00,27.00,21.00,15.00,15.00,8.50,19.00,
2017-04-07,21.00,34.00,9.00,27.00,21.00,15.00,15.00,8.50,19.00,
2017-04-14,21.00,32.00,9.00,27.00,20.00,13.00,15.00,8.50,19.00,
2017-04-21,21.00,32.00,9.00,26.00,19.00,13.00,15.00,8.50,18.00,
2017-04-28,21.00,32.00,9.00,25.00,19.00,13.00,15.00,8.50,17.00,
2017-05-05,20.00,30.00,8.00,25.00,17.00,13.00,14.00,8.50,16.00,
2017-05-12,20.00,29.00,8.00,25.00,17.00,13.00,14.00,8.00,16.00,
2017-05-19,20.00,29.00,8.00,24.00,17.00,13.00,14.00,8.00,16.00,
2017-05-26,20.00,29.00,8.00,24.00,17.00,13.00,14.00,8.00,16.00,
2017-06-02,20.00,28.00,7.50,24.00,16.00,13.00,14.00,8.00,17.00,
2017-06-09,20.00,28.00,7.50,24.00,16.00,13.00,14.00,8.00,17.00,
2017-06-16,21.00,29.00,7.50,24.00,17.00,14.00,14.00,8.00,17.00,
2017-06-23,21.00,30.00,8.00,24.00,17.00,15.00,14.00,8.00,17.00,
2017-06-29,21.00,30.00,8.00,24.00,17.00,15.00,14.00,8.00,17.00,
2017-07-07,21.00,30.00,8.00,24.00,17.00,15.00,14.00,8.00,17.00,
2017-07-14,21.00,30.00,8.00,24.00,17.00,15.00,14.00,8.00,17.00,
2017-07-21,21.00,30.00,8.00,24.00,16.00,15.00,14.00,8.00,17.00,
2017-07-28,21.00,30.00,8.00,24.00,16.00,15.00,14.00,8.00,17.00,
2017-08-04,21.00,30.00,8.00,24.00,16.00,15.00,14.00,8.00,17.00,
2017-08-11,21.00,30.00,8.00,24.00,16.00,15.00,14.00,8.00,17.00,
2017-08-18,21.00,30.00,8.00,24.00,16.00,13.00,14.00,8.00,17.00,
2017-08-25,21.00,30.00,8.00,24.00,16.00,13.00,14.00,8.00,17.00,
2017-09-01,21.00,30.00,8.00,24.00,16.00,13.00,14.00,8.00,,
2017-09-08,21.00,30.00,8.00,24.00,16.00,13.00,14.00,8.00,34.00,
2017-09-15,21.00,30.00,8.00,25.00,17.00,13.00,14.00,8.00,18.00,
2017-09-22,21.00,30.00,8.00,28.00,17.00,13.00,14.00,8.00,18.00,
2017-09-29,27.00,30.00,8.00,28.00,18.00,14.00,14.00,8.00,18.00,
2017-10-13,27.00,32.00,8.00,28.00,18.00,14.00,14.00,8.00,18.00,
2017-10-20,27.00,32.00,8.00,28.00,18.00,14.00,14.00,8.00,18.00,
2017-10-27,27.00,34.00,8.00,28.00,18.00,14.00,14.00,8.00,18.00,
2017-11-03,27.00,34.00,8.00,26.00,18.00,14.00,14.00,8.00,17.00,
2017-11-10,27.00,32.00,8.00,26.00,17.00,14.00,14.00,8.00,17.00,
2017-11-17,26.00,31.00,8.00,26.00,17.00,14.00,14.00,7.50,17.00,
2017-11-24,26.00,33.00,8.00,26.00,17.00,13.00,14.00,7.50,17.00,
2017-12-01,26.00,33.00,8.00,26.00,17.00,13.00,14.00,7.50,17.00,
2017-12-08,26.00,33.00,8.00,26.00,17.00,14.00,14.00,7.50,17.00,
2017-12-15,26.00,33.00,8.00,26.00,17.00,14.00,14.00,7.50,17.00,
2017-12-22,28.00,33.00,8.00,27.00,17.00,14.00,14.00,7.50,18.00,
2017-12-29,28.00,33.00,8.00,27.00,17.00,14.00,14.00,7.50,18.00,
2018-01-05,27.00,30.00,8.00,27.00,20.00,13.00,15.00,7.50,17.00,
2018-01-12,29.00,32.00,8.00,27.00,20.00,13.00,15.00,7.50,17.00,
2018-01-19,29.00,32.00,8.00,27.00,20.00,13.00,15.00,7.50,17.00,
2018-01-26,29.00,32.00,8.00,27.00,21.00,13.00,15.00,7.50,17.00,
2018-02-02,29.00,32.00,8.50,27.00,21.00,13.00,15.00,7.50,17.00,
2018-02-09,29.00,32.00,8.50,35.00,30.00,14.00,20.00,7.50,23.00,
2018-02-23,29.00,32.00,8.50,36.00,30.00,14.00,20.00,7.50,23.00,
2018-03-02,29.00,32.00,8.50,32.00,26.00,13.00,17.00,7.50,19.00,
2018-03-09,27.00,31.00,8.50,28.00,18.00,13.00,15.00,7.50,18.00,
2018-03-16,27.00,30.00,8.00,27.00,17.00,13.00,15.00,7.50,18.00,
2018-03-23,25.00,30.00,8.00,25.00,16.00,13.00,14.00,7.50,17.00,
2018-03-30,24.00,29.00,8.00,24.00,16.00,13.00,13.00,7.50,17.00,
2018-04-13,18.00,25.00,8.00,23.00,16.00,13.00,13.00,7.00,16.00,
2018-04-20,18.00,25.00,8.00,23.00,16.00,13.00,13.00,7.00,16.00,
2018-04-27,18.00,25.00,8.00,23.00,16.00,13.00,13.00,7.00,16.00,
