时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,新疆区,38.46,,188.95,,1,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,宁夏区,7.34,,35.27,,2,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,青海省,39.17,,173.25,,3,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,甘肃省,2.53,,7.66,,4,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,陕西省,11.08,,63.85,,5,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,云南省,21.33,,103.72,,6,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,贵州省,22.38,,122.16,,7,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,四川省,29.06,,132.08,,8,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,重庆市,16.16,,93.20,,9,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,海南省,5.17,,26.69,,10,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,广西区,3.10,,15.65,,11,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,广东省,1.32,,6.43,,12,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,湖南省,5.09,,20.83,,13,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,湖北省,60.10,,280.24,,14,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,河南省,44.07,,213.26,,15,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,山东省,39.21,,205.88,,16,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,江西省,12.38,,48.76,,17,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,福建省,1.68,,10.13,,18,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,安徽省,21.06,,95.89,,19,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,浙江省,3.02,,13.99,,20,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,江苏省,19.91,,83.30,,21,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,上海市,0.06,,0.27,,22,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,黑龙江省,9.29,,44.10,,23,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,吉林省,1.43,,9.69,,24,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,辽宁省,3.65,,15.52,,25,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,内蒙古区,42.21,,201.83,,26,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,山西省,37.83,,181.43,,27,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
2024-05,河北省,25.12,,124.06,,28,2024-05-31 00:00:00,1,0,2024-07-02 18:14:50,0,2024-07-02 18:14:50,,,
