时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,全国,7751.00,7.20,38370.00,8.60,1,2024-05-31 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,全国,7412.00,7.00,30772.00,9.00,2,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,新疆区,331.10,13.50,1413.90,16.50,3,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,宁夏区,109.20,-0.90,459.00,1.30,4,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,青海省,89.00,7.90,364.90,9.40,5,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,甘肃省,136.50,4.00,575.00,7.30,6,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,陕西省,185.90,2.30,836.20,6.20,7,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,西藏区,12.50,12.00,50.90,15.60,8,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,云南省,211.30,21.00,840.30,10.00,9,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,贵州省,141.30,8.00,633.20,10.30,10,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,四川省,291.70,2.00,1193.50,6.40,11,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,重庆市,111.00,5.10,462.80,5.80,12,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,海南省,46.80,20.10,160.40,16.10,13,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,广西区,201.90,6.70,799.90,8.60,14,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,广东省,731.90,14.90,2548.30,12.70,15,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,湖南省,161.50,-0.50,749.00,6.70,16,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,湖北省,207.20,4.90,881.00,8.30,17,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,河南省,302.80,4.00,1354.80,7.30,18,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,山东省,632.50,3.10,2636.90,5.10,19,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,江西省,160.20,9.30,656.20,9.00,20,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,福建省,258.70,10.10,966.80,11.30,21,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,安徽省,252.60,8.70,1095.80,13.60,22,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,浙江省,508.70,8.80,1955.50,11.30,23,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,江苏省,620.20,7.10,2584.40,10.50,24,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,上海市,132.20,4.30,598.20,8.10,25,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,黑龙江省,94.70,-0.50,420.20,3.00,26,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,吉林省,71.20,-1.30,335.20,6.60,27,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,辽宁省,205.40,0.30,923.70,4.50,28,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,内蒙古区,406.70,8.20,1710.90,12.90,29,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,山西省,222.50,-0.50,982.80,2.50,30,2024-04-30 00:00:00,1,0,2024-07-02 19:06:11,0,2024-07-02 19:06:11,,,
2024-04,河北省,372.10,6.90,1626.10,8.70,31,2024-04-30 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-04,天津市,77.30,4.40,348.80,6.60,32,2024-04-30 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-04,北京市,87.50,3.20,456.20,5.50,33,2024-04-30 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,全国,7942.00,7.40,23373.00,9.80,34,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,新疆区,358.40,17.20,1081.80,17.70,35,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,宁夏区,115.20,-3.80,349.80,2.00,36,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,青海省,94.80,9.10,276.00,9.90,37,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,甘肃省,148.00,5.60,438.50,8.30,38,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,陕西省,207.50,3.90,650.40,7.40,39,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,西藏区,12.90,7.50,38.40,16.80,40,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
