时间,项目名称,当季值(亿元),累计值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,第三产业增加值,180762.20,688238.40,1,2023-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-12,国内生产总值,347890.10,1260582.10,2,2023-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-12,第一产业增加值,33425.00,89755.20,3,2023-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-12,第二产业增加值,133702.90,482588.50,4,2023-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-09,国内生产总值,319992.30,913026.50,5,2023-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-09,第二产业增加值,122978.00,353659.50,6,2023-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-09,第三产业增加值,171056.10,502992.60,7,2023-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-09,第一产业增加值,25958.30,56374.50,8,2023-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-06,第二产业增加值,122735.00,230682.00,9,2023-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-06,第三产业增加值,166462.00,331937.00,10,2023-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-06,第一产业增加值,18841.00,30416.00,11,2023-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-06,国内生产总值,308038.00,593034.00,12,2023-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-03,第二产业增加值,107946.70,107946.70,13,2023-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-03,国内生产总值,284996.60,284996.60,14,2023-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-03,第三产业增加值,165474.90,165474.90,15,2023-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2023-03,第一产业增加值,11575.00,11575.00,16,2023-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-12,第一产业增加值,33496.60,88345.10,17,2022-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-12,国内生产总值,335507.90,1210207.20,18,2022-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-12,第三产业增加值,169410.70,638697.60,19,2022-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-12,第二产业增加值,132600.60,483164.50,20,2022-12-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-09,第二产业增加值,121553.10,350189.50,21,2022-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-09,第三产业增加值,160432.40,465300.40,22,2022-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-09,第一产业增加值,25641.90,54779.10,23,2022-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-09,国内生产总值,307627.40,870269.00,24,2022-09-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-06,第一产业增加值,18183.40,29137.20,25,2022-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-06,国内生产总值,292463.80,562641.60,26,2022-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-06,第二产业增加值,122449.80,228636.40,27,2022-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-06,第三产业增加值,151830.60,304868.00,28,2022-06-30 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-03,国内生产总值,270177.80,270177.80,29,2022-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-03,第二产业增加值,106186.60,106186.60,30,2022-03-31 00:00:00,1,0,2024-07-02 19:27:48,0,2024-07-02 19:27:48,,,
2022-03,国内生产总值,270177.80,270177.80,31,2022-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2022-03,第一产业增加值,10953.80,10953.80,32,2022-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-12,第三产业增加值,162115.40,609679.70,33,2021-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-12,第一产业增加值,31472.20,83085.50,34,2021-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-12,第二产业增加值,130649.80,450904.50,35,2021-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-12,国内生产总值,324237.40,1143669.70,36,2021-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-09,国内生产总值,290963.80,823131.30,37,2021-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-09,第三产业增加值,154150.40,450761.40,38,2021-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-09,第一产业增加值,23027.80,51430.10,39,2021-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-09,第二产业增加值,113785.60,320939.70,40,2021-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-06,国内生产总值,282857.00,532167.00,41,2021-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-06,第一产业增加值,17070.00,28402.00,42,2021-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-06,第三产业增加值,151257.00,296611.00,43,2021-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-06,第二产业增加值,114531.00,207154.00,44,2021-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-03,第一产业增加值,11373.80,11373.80,45,2021-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-03,国内生产总值,247985.00,247985.00,46,2021-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-03,第二产业增加值,92432.20,92432.20,47,2021-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2021-03,第三产业增加值,144179.00,144179.00,48,2021-03-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-12,国内生产总值,296297.80,1015986.20,49,2020-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-12,第二产业增加值,113939.90,384255.30,50,2020-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-12,第三产业增加值,152727.60,553976.80,51,2020-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-12,第一产业增加值,29630.20,77754.10,52,2020-12-31 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-09,第二产业增加值,100082.60,270315.40,53,2020-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-09,国内生产总值,264976.30,719688.40,54,2020-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-09,第一产业增加值,22072.00,48123.90,55,2020-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-09,第三产业增加值,142821.70,401249.10,56,2020-09-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-06,国内生产总值,248985.10,454712.10,57,2020-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-06,第二产业增加值,97699.40,170232.80,58,2020-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
2020-06,第三产业增加值,135418.90,258427.40,59,2020-06-30 00:00:00,1,0,2024-07-02 19:27:54,0,2024-07-02 19:27:54,,,
