日期,数据类目,当期值(美元/吨),环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-02,澳大利亚纽卡斯尔-中国舟山,17.63,0.80,1,2024-07-02 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-02,印尼塔巴尼奥-中国南通,13.75,-0.10,2,2024-07-02 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-02,印尼塔巴尼奥-中国广州,11.43,-0.10,3,2024-07-02 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-02,澳大利亚海波因特-中国舟山,14.35,-0.10,4,2024-07-02 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-02,印尼萨马林达-中国广州,8.00,0.00,5,2024-07-02 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-01,印尼萨马林达-中国广州,8.03,-0.10,6,2024-07-01 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-01,印尼塔巴尼奥-中国南通,13.87,-0.10,7,2024-07-01 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-01,印尼塔巴尼奥-中国广州,11.56,0.00,8,2024-07-01 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-01,澳大利亚纽卡斯尔-中国舟山,16.83,0.10,9,2024-07-01 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-07-01,澳大利亚海波因特-中国舟山,14.40,-0.10,10,2024-07-01 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-28,澳大利亚海波因特-中国舟山,14.48,-0.10,11,2024-06-28 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-28,印尼塔巴尼奥-中国广州,11.60,0.00,12,2024-06-28 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-28,印尼塔巴尼奥-中国南通,13.94,0.00,13,2024-06-28 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-28,澳大利亚纽卡斯尔-中国舟山,16.70,0.20,14,2024-06-28 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-28,印尼萨马林达-中国广州,8.08,-0.10,15,2024-06-28 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-27,印尼塔巴尼奥-中国南通,13.98,-0.10,16,2024-06-27 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-27,印尼塔巴尼奥-中国广州,11.61,0.00,17,2024-06-27 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-27,印尼萨马林达-中国广州,8.18,-0.10,18,2024-06-27 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-27,澳大利亚海波因特-中国舟山,14.56,-0.10,19,2024-06-27 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-27,澳大利亚纽卡斯尔-中国舟山,16.50,0.20,20,2024-06-27 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-26,印尼萨马林达-中国广州,8.32,-0.20,21,2024-06-26 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-26,澳大利亚海波因特-中国舟山,14.66,-0.20,22,2024-06-26 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-26,印尼塔巴尼奥-中国广州,11.63,0.00,23,2024-06-26 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-26,澳大利亚纽卡斯尔-中国舟山,16.33,0.00,24,2024-06-26 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-26,印尼塔巴尼奥-中国南通,14.03,0.00,25,2024-06-26 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-25,印尼萨马林达-中国广州,8.49,-0.20,26,2024-06-25 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-25,澳大利亚纽卡斯尔-中国舟山,16.35,-0.30,27,2024-06-25 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-25,印尼塔巴尼奥-中国广州,11.67,0.00,28,2024-06-25 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-25,印尼塔巴尼奥-中国南通,14.07,0.00,29,2024-06-25 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-25,澳大利亚海波因特-中国舟山,14.86,-0.20,30,2024-06-25 00:00:00,1,0,2024-07-03 00:58:14,0,2024-07-03 00:58:14,,,
2024-06-24,印尼萨马林达-中国广州,8.66,-0.10,31,2024-06-24 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-24,印尼塔巴尼奥-中国南通,14.06,0.00,32,2024-06-24 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-24,澳大利亚海波因特-中国舟山,15.01,-0.10,33,2024-06-24 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-24,印尼塔巴尼奥-中国广州,11.67,0.00,34,2024-06-24 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-24,澳大利亚纽卡斯尔-中国舟山,16.62,0.00,35,2024-06-24 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-21,印尼萨马林达-中国广州,8.73,-0.10,36,2024-06-21 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-21,澳大利亚纽卡斯尔-中国舟山,16.61,0.00,37,2024-06-21 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-21,澳大利亚海波因特-中国舟山,15.08,-0.30,38,2024-06-21 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-21,印尼塔巴尼奥-中国广州,11.65,0.00,39,2024-06-21 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-21,印尼塔巴尼奥-中国南通,14.03,0.10,40,2024-06-21 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-20,澳大利亚海波因特-中国舟山,15.38,-0.20,41,2024-06-20 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-20,澳大利亚纽卡斯尔-中国舟山,16.57,0.20,42,2024-06-20 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-20,印尼塔巴尼奥-中国南通,13.95,0.10,43,2024-06-20 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-20,印尼塔巴尼奥-中国广州,11.61,0.00,44,2024-06-20 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-20,印尼萨马林达-中国广州,8.85,-0.10,45,2024-06-20 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,印尼塔巴尼奥-中国广州,11.59,0.00,46,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,印尼萨马林达-中国广州,8.99,0.00,47,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,印尼塔巴尼奥-中国南通,13.90,0.00,48,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,澳大利亚纽卡斯尔-中国舟山,16.35,0.00,49,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,澳大利亚海波因特-中国舟山,15.54,0.00,50,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼塔巴尼奥-中国南通,13.90,0.00,51,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼塔巴尼奥-中国广州,11.60,0.00,52,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,澳大利亚海波因特-中国舟山,15.56,0.00,53,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,澳大利亚纽卡斯尔-中国舟山,16.36,-0.10,54,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼萨马林达-中国广州,8.99,0.00,55,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼塔巴尼奥-中国广州,11.59,0.00,56,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,澳大利亚海波因特-中国舟山,15.54,0.00,57,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼萨马林达-中国广州,8.96,0.00,58,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼塔巴尼奥-中国南通,13.88,0.00,59,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,澳大利亚纽卡斯尔-中国舟山,16.49,-0.10,60,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
