合约名称,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌,涨跌1,成交量,成交额,持仓量,持仓量变化,标记位,商品名称,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
y1903,6050.00,6050.00,6110.00,6112.00,6100.00,6100.00,6108.00,50.00,58.00,44.00,2688360.00,68.00,,j,焦炭,1,2018-05-11 00:00:00,,,,,,,,
y1903,6100.00,6108.00,0.00,0.00,0.00,6078.00,6078.00,-30.00,-30.00,0.00,0.00,68.00,,j,焦炭,2,2018-05-14 00:00:00,,,,,,,,
y1903,6078.00,6078.00,6084.00,6084.00,6074.00,6074.00,6078.00,-4.00,0.00,4.00,243160.00,68.00,,j,焦炭,3,2018-05-15 00:00:00,,,,,,,,
y1903,6074.00,6078.00,6060.00,6060.00,6032.00,6032.00,6044.00,-46.00,-34.00,6.00,362640.00,70.00,,j,焦炭,4,2018-05-16 00:00:00,,,,,,,,
y1903,6032.00,6044.00,6002.00,6004.00,6000.00,6000.00,6000.00,-44.00,-44.00,34.00,2040320.00,70.00,,j,焦炭,5,2018-05-17 00:00:00,,,,,,,,
y1903,6000.00,6000.00,6008.00,6030.00,6008.00,6030.00,6018.00,30.00,18.00,4.00,240760.00,70.00,,j,焦炭,6,2018-05-18 00:00:00,,,,,,,,
c1903,1888.00,1891.00,1888.00,1895.00,1886.00,1889.00,1889.00,-2.00,-2.00,9722.00,183711460.00,10490.00,,j,焦炭,7,2018-10-16 00:00:00,,,,,,,,
fb1901,101.90,99.60,97.05,97.50,94.65,94.65,95.35,-4.95,-4.25,32.00,1525650.00,70.00,,j,焦炭,8,2018-11-12 00:00:00,,,,,,,,
fb1901,94.65,95.35,89.50,89.50,87.75,87.75,87.90,-7.60,-7.45,72.00,3166000.00,78.00,,j,焦炭,9,2018-11-13 00:00:00,,,,,,,,
fb1901,87.75,87.90,80.05,80.20,79.15,79.15,79.35,-8.75,-8.55,48.00,1905350.00,98.00,,j,焦炭,10,2018-11-14 00:00:00,,,,,,,,
fb1901,79.15,79.35,72.70,84.30,72.35,81.40,80.10,2.05,0.75,598.00,23956200.00,356.00,,j,焦炭,11,2018-11-15 00:00:00,,,,,,,,
fb1901,81.40,80.10,79.90,81.45,78.40,79.80,80.30,-0.30,0.20,566.00,22734700.00,690.00,,j,焦炭,12,2018-11-16 00:00:00,,,,,,,,
fb1901,79.80,80.30,77.30,77.55,76.30,76.30,76.50,-4.00,-3.80,330.00,12628600.00,750.00,,j,焦炭,13,2018-11-19 00:00:00,,,,,,,,
fb1901,76.30,76.50,73.60,80.85,72.15,74.05,74.20,-2.45,-2.30,338.00,12544800.00,722.00,,j,焦炭,14,2018-11-20 00:00:00,,,,,,,,
fb1901,74.05,74.20,71.10,73.45,70.50,70.50,71.60,-3.70,-2.60,292.00,10458650.00,752.00,,j,焦炭,15,2018-11-21 00:00:00,,,,,,,,
fb1901,70.50,71.60,72.15,72.15,65.90,66.05,67.20,-5.55,-4.40,584.00,19636200.00,824.00,,j,焦炭,16,2018-11-22 00:00:00,,,,,,,,
fb1901,66.05,67.20,66.45,66.45,63.85,63.85,64.45,-3.35,-2.75,612.00,19727700.00,822.00,,j,焦炭,17,2018-11-23 00:00:00,,,,,,,,
fb1901,63.85,64.45,62.65,67.55,62.05,65.95,65.55,1.50,1.10,778.00,25516200.00,800.00,,j,焦炭,18,2018-11-26 00:00:00,,,,,,,,
fb1901,65.95,65.55,66.95,68.80,66.15,68.80,68.25,3.25,2.70,566.00,19320750.00,826.00,,j,焦炭,19,2018-11-27 00:00:00,,,,,,,,
fb1901,68.80,68.25,71.00,73.70,71.00,73.70,73.25,5.45,5.00,162.00,5934250.00,856.00,,j,焦炭,20,2018-11-28 00:00:00,,,,,,,,
fb1901,73.70,73.25,77.50,78.70,66.55,67.45,71.75,-5.80,-1.50,2578.00,92528600.00,1300.00,,j,焦炭,21,2018-11-29 00:00:00,,,,,,,,
fb1901,67.45,71.75,68.20,75.30,68.20,75.30,73.25,3.55,1.50,3182.00,116566950.00,1134.00,,j,焦炭,22,2018-11-30 00:00:00,,,,,,,,
fb1901,75.30,73.25,79.10,79.10,79.10,79.10,79.10,5.85,5.85,108.00,4271400.00,1094.00,,j,焦炭,23,2018-12-03 00:00:00,,,,,,,,
fb1901,79.10,79.10,84.00,87.00,79.90,86.95,84.15,7.85,5.05,4504.00,189568850.00,1106.00,,j,焦炭,24,2018-12-04 00:00:00,,,,,,,,
fb1901,86.95,84.15,85.15,88.35,83.35,87.65,86.85,3.50,2.70,4640.00,201584350.00,1114.00,,j,焦炭,25,2018-12-05 00:00:00,,,,,,,,
fb1901,87.65,86.85,87.00,89.00,84.35,86.25,86.55,-0.60,-0.30,3364.00,145578650.00,1196.00,,j,焦炭,26,2018-12-06 00:00:00,,,,,,,,
fb1901,86.25,86.55,86.25,90.25,85.15,90.00,87.65,3.45,1.10,2148.00,94163800.00,1056.00,,j,焦炭,27,2018-12-07 00:00:00,,,,,,,,
fb1901,90.00,87.65,89.60,90.50,88.00,89.15,89.30,1.50,1.65,1926.00,86037550.00,1026.00,,j,焦炭,28,2018-12-10 00:00:00,,,,,,,,
fb1901,89.15,89.30,88.00,89.30,85.00,85.20,86.30,-4.10,-3.00,1662.00,71725500.00,966.00,,j,焦炭,29,2018-12-11 00:00:00,,,,,,,,
fb1901,85.20,86.30,85.25,89.90,84.35,88.70,87.95,2.40,1.65,3090.00,135911550.00,1004.00,,j,焦炭,30,2018-12-12 00:00:00,,,,,,,,
fb1901,88.70,87.95,88.90,89.95,88.10,88.55,89.00,0.60,1.05,1768.00,78678700.00,896.00,,j,焦炭,31,2018-12-13 00:00:00,,,,,,,,
fb1901,88.55,89.00,88.00,89.45,87.60,88.50,88.70,-0.50,-0.30,706.00,31322950.00,828.00,,j,焦炭,32,2018-12-14 00:00:00,,,,,,,,
fb1901,88.50,88.70,89.05,93.10,88.80,93.10,91.65,4.40,2.95,874.00,40071500.00,920.00,,j,焦炭,33,2018-12-17 00:00:00,,,,,,,,
fb1901,93.10,91.65,96.30,96.30,90.60,93.35,93.70,1.70,2.05,3098.00,145156300.00,944.00,,j,焦炭,34,2018-12-18 00:00:00,,,,,,,,
fb1901,93.35,93.70,93.10,94.65,91.90,92.90,93.20,-0.80,-0.50,1164.00,54260000.00,854.00,,j,焦炭,35,2018-12-19 00:00:00,,,,,,,,
fb1901,92.90,93.20,92.80,94.05,91.35,93.80,93.25,0.60,0.05,1152.00,53723150.00,804.00,,j,焦炭,36,2018-12-20 00:00:00,,,,,,,,
i1904,493.00,493.00,0.00,0.00,0.00,493.00,493.00,0.00,0.00,0.00,0.00,20.00,,j,焦炭,37,2018-08-30 00:00:00,,,,,,,,
i1904,493.00,493.00,0.00,0.00,0.00,493.00,493.00,0.00,0.00,0.00,0.00,20.00,,j,焦炭,38,2018-08-31 00:00:00,,,,,,,,
i1904,493.00,493.00,495.50,495.50,495.50,495.50,495.50,2.50,2.50,2.00,99100.00,22.00,,j,焦炭,39,2018-09-03 00:00:00,,,,,,,,
i1904,495.50,495.50,0.00,0.00,0.00,495.50,495.50,0.00,0.00,0.00,0.00,22.00,,j,焦炭,40,2018-09-04 00:00:00,,,,,,,,
i1904,495.50,495.50,495.50,496.50,490.00,496.50,493.50,1.00,-2.00,10.00,493600.00,28.00,,j,焦炭,41,2018-09-05 00:00:00,,,,,,,,
i1904,496.50,493.50,506.00,514.50,506.00,514.50,510.00,21.00,16.50,6.00,306100.00,30.00,,j,焦炭,42,2018-09-06 00:00:00,,,,,,,,
fb1901,93.80,93.25,93.85,96.40,93.65,95.85,94.75,2.60,1.50,960.00,45493050.00,766.00,,j,焦炭,43,2018-12-21 00:00:00,,,,,,,,
i1904,514.50,510.00,513.50,517.50,513.50,517.50,515.50,7.50,5.50,4.00,206200.00,30.00,,j,焦炭,44,2018-09-07 00:00:00,,,,,,,,
c1903,1889.00,1889.00,1889.00,1893.00,1886.00,1892.00,1888.00,3.00,-1.00,2972.00,56133480.00,11510.00,,j,焦炭,46,2018-10-17 00:00:00,,,,,,,,
fb1901,95.85,94.75,94.85,97.35,94.75,97.20,96.05,2.45,1.30,864.00,41498400.00,816.00,,j,焦炭,47,2018-12-24 00:00:00,,,,,,,,
fb1901,97.20,96.05,97.00,100.85,96.05,100.85,98.85,4.80,2.80,1362.00,67345150.00,852.00,,j,焦炭,48,2018-12-25 00:00:00,,,,,,,,
c1903,1892.00,1888.00,1952.00,1952.00,1895.00,1902.00,1902.00,14.00,14.00,4478.00,85199380.00,11020.00,,j,焦炭,49,2018-10-18 00:00:00,,,,,,,,
c1903,1902.00,1902.00,1902.00,1916.00,1901.00,1912.00,1907.00,10.00,5.00,3962.00,75591780.00,11084.00,,j,焦炭,50,2018-10-19 00:00:00,,,,,,,,
c1903,1912.00,1907.00,1912.00,1924.00,1910.00,1922.00,1920.00,15.00,13.00,5208.00,100001000.00,9148.00,,j,焦炭,51,2018-10-22 00:00:00,,,,,,,,
c1903,1922.00,1920.00,1923.00,1929.00,1919.00,1919.00,1924.00,-1.00,4.00,5260.00,101212660.00,9106.00,,j,焦炭,52,2018-10-23 00:00:00,,,,,,,,
c1903,1919.00,1924.00,1917.00,1921.00,1912.00,1921.00,1916.00,-3.00,-8.00,5116.00,98028620.00,9510.00,,j,焦炭,53,2018-10-24 00:00:00,,,,,,,,
c1903,1921.00,1916.00,1921.00,1928.00,1921.00,1924.00,1924.00,8.00,8.00,7298.00,140418500.00,9496.00,,j,焦炭,54,2018-10-25 00:00:00,,,,,,,,
c1903,1924.00,1924.00,1928.00,1931.00,1918.00,1927.00,1919.00,3.00,-5.00,7792.00,149580660.00,9500.00,,j,焦炭,56,2018-10-26 00:00:00,,,,,,,,
