[2025-10-09 21:46:13] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000019-CCI指数_处理后, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:14] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:14] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000232--煤炭价格_国内煤价_地区价格_浙江省_金华市, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:14] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000233--煤炭价格_国内煤价_地区价格_浙江省_宁波市, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:14] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000234--煤炭价格_国内煤价_地区价格_浙江省_衢州市, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:15] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000235--煤炭价格_国内煤价_地区价格_浙江省_绍兴市, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:15] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000236--煤炭价格_国内煤价_地区价格_浙江省_台州市, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:15] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000238--煤炭价格_国内煤价_地区价格_浙江省_乍浦镇, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:15] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000257--煤炭价格_国内煤价_港口价格_上海港, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:15] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000258--煤炭价格_国内煤价_港口价格_宁波港, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
[2025-10-09 21:46:16] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000259--煤炭价格_国内煤价_港口价格_防城港, 请求时间范围:2025-10-08 到 2025-10-08, 记录数:0, 是否有空值:False
